variant,round,requests,cpu_ms_per_request,wall_ms_per_request,compile_ms
compute,1,100,6.756540000000015,1.25922133,0.0
handler,1,100,9.194189999999978,1.77309665,0.0
handler,2,100,8.17026999999996,1.5589899800000002,0.0
compute,2,100,8.539749999999984,1.70014375,0.0
compute,3,100,4.004300000000001,0.73151107,0.0
handler,3,100,8.94599999999997,1.67440493,0.0
handler,4,100,6.126179999999977,1.3048975500000002,0.0
compute,4,100,5.003320000000002,1.0210971,0.0
compute,5,100,8.429929999999999,1.76623501,0.0
handler,5,100,11.087140000000062,2.42722043,0.0
