network,resolution,city,fold,family,cpu_ms,wall_ms,gc_ms,compile_ms,rss_bytes,external_cores,workers,reused_workers,output_bytes,url
everything,5,Paris,train,0,0.922000000002754,0.400136,0,0,20641853440,0,1,0,1178,/reachable?network=everything&index=851fb467fffffff&departure_h=8&budget_h=0.0&max_walk_h=0.0&metric=time&encoding=split&distance_mode=itinerary
everything,5,Paris,train,0,18.26099999999542,4.922159,0,0,20703686656,6.448186669014697,1,0,5858,/reachable?network=everything&index=851fb467fffffff&departure_h=17&budget_h=0.5&max_walk_h=0.1&metric=time_distance_quantile&encoding=string&distance_mode=straight_line
everything,5,Paris,train,1,0.990999999999076,0.91571,0,0,20842393600,0,2,0,4090,/reachable?network=everything&index=851fb467fffffff&departure_h=8&budget_h=0.25&max_walk_h=0.1&metric=time&encoding=split&distance_mode=itinerary&window_h=0.06666666666666667&step_h=0.016666666666666666&window_mode=mean_intersection
everything,5,Paris,train,1,5.5109999999842785,1.752901,0,0,20926267392,0,3,0,18786,/reachable?network=everything&index=851fb467fffffff&departure_h=17&budget_h=1.0&max_walk_h=0.5&metric=time_distance_quantile&encoding=string&distance_mode=straight_line&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=min_union
everything,5,Paris,train,2,39.093999999977314,8.033263,0,0,20757487616,0,1,1,1082,/reachable?network=everything&index=851fb467fffffff&departure_h=8&budget_h=0.5&max_walk_h=0.5&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=2&exclude_origin_population=false
everything,5,Paris,train,2,106.52100000001496,26.854862,0,0,20758388736,0.8742923306858299,3,3,9258,/reachable?network=everything&index=851fb467fffffff&departure_h=17&budget_h=3.0&max_walk_h=1.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=10&exclude_origin_population=true
everything,5,Paris,train,3,74.90900000001943,19.731774,0,0,20758388736,1.7784006700272388,3,3,2234,/reachable?network=everything&index=851fb467fffffff&departure_h=8&budget_h=1.0&max_walk_h=1.0&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=5&exclude_origin_population=false&window_h=1.6&step_h=0.016666666666666666&window_mode=mean_intersection
everything,5,Paris,train,3,9638.112000000006,3244.3362260000004,0,0,20758429696,2.451006136825407,3,3,25650,/reachable?network=everything&index=851fb467fffffff&departure_h=17&budget_h=6.0&max_walk_h=0.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=18&exclude_origin_population=true&window_h=13.02&step_h=0.06&window_mode=min_union
everything,5,Berlin,train,0,1.508000000001175,0.5210739999999999,0,0,20758429696,0,1,0,2098,/reachable?network=everything&index=851f1d4bfffffff&departure_h=8&budget_h=0.25&max_walk_h=0.1&metric=time&encoding=split&distance_mode=itinerary
everything,5,Berlin,train,0,3.5929999999950724,1.12925,0,0,20758429696,5.673677227645032,1,0,8274,/reachable?network=everything&index=851f1d4bfffffff&departure_h=17&budget_h=1.0&max_walk_h=0.5&metric=time_distance_quantile&encoding=string&distance_mode=straight_line
everything,5,Berlin,train,1,17.731000000026143,4.273519,0,0,20758446080,0.5309441747188463,3,0,5282,/reachable?network=everything&index=851f1d4bfffffff&departure_h=8&budget_h=0.5&max_walk_h=0.5&metric=time&encoding=split&distance_mode=itinerary&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=min_union
everything,5,Berlin,train,1,17.622000000017124,6.925586,0,0,20758528000,1.7872855853530016,3,0,58298,/reachable?network=everything&index=851f1d4bfffffff&departure_h=17&budget_h=3.0&max_walk_h=1.0&metric=time_distance_quantile&encoding=string&distance_mode=straight_line&window_h=1.6&step_h=0.016666666666666666&window_mode=max_intersection
everything,5,Berlin,train,2,4.0300000000002,1.752167,0,0,20758528000,0,2,2,2234,/reachable?network=everything&index=851f1d4bfffffff&departure_h=8&budget_h=1.0&max_walk_h=1.0&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=5&exclude_origin_population=false
everything,5,Berlin,train,2,522.3430000000064,162.2499,0,0,20758712320,2.389258791014198,3,3,24810,/reachable?network=everything&index=851f1d4bfffffff&departure_h=17&budget_h=6.0&max_walk_h=0.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=18&exclude_origin_population=true
everything,5,Berlin,train,3,4535.110000000003,1660.480722,0,0,20758712320,2.086678847934253,3,3,6074,/reachable?network=everything&index=851f1d4bfffffff&departure_h=8&budget_h=3.0&max_walk_h=0.0&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=10&exclude_origin_population=false&window_h=13.02&step_h=0.06&window_mode=min_union
