city,res,origins,samples,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,external_cores,shared,separate
Vienna,6,9919,96,fine,0,59.035650562,391.852533,368067608,0.008531894,9.415837011,7673999360,1.0933642025717105,252349987,2154505980
Vienna,6,9919,96,free,0,9.153774261,66.16153499999996,116162928,0.0,0.740289081,7534276608,0.5613493247194473,48394723,475854774
Vienna,6,9919,96,scalar,0,25.990143054,190.4374630000001,824902920,0.0175606,2.472263819,7571468288,0.4687368197506055,127212043,127212043
Vienna,6,9919,96,batched,0,7.829089794,55.45625800000005,1390275824,0.02101772,4.878538076,7729483776,0.5292750637695227,24037093,126833193
Vienna,6,9919,96,batched,1,7.260525214,53.304584999999975,1342062760,0.014520308,0.0,7717482496,0.5544247669846486,24037093,126833193
Vienna,6,9919,96,fine,1,55.220697054,390.92440899999997,260497664,0.005538081,0.0,7718440960,0.6360946687380183,252349987,2154505980
Vienna,6,9919,96,free,1,9.159344336,66.3329990000002,114319000,0.0,0.0,7718477824,0.6438234860112779,48394723,475854774
Vienna,6,9919,96,scalar,1,26.629947385,190.03736400000003,802816976,0.013578751,0.0,7723524096,0.7240959105615878,127212043,127212043
Vienna,6,9919,96,scalar,2,26.81997773,190.0023070000002,802816976,0.01665735,0.0,7724716032,0.7732181289917307,127212043,127212043
Vienna,6,9919,96,batched,2,7.550953381,53.426054999999906,1342068304,0.01991217,0.0,7749943296,0.7898267541977907,24037093,126833193
Vienna,6,9919,96,fine,2,56.869793794,389.3525710000001,260497664,0.005977447,0.0,7728672768,0.895685136199865,252349987,2154505980
Vienna,6,9919,96,free,2,9.433544334,66.34252500000002,114319000,0.0,0.0,7728672768,0.8435297188618828,48394723,475854774
Vienna,6,9919,96,free,3,9.462429601,66.36241299999983,114319000,0.0,0.0,7728672768,0.861045983279858,48394723,475854774
Vienna,6,9919,96,scalar,3,27.316294257,190.0052209999999,802816976,0.006376685,0.0,7736889344,0.8901199690993241,127212043,127212043
Vienna,6,9919,96,batched,3,7.619632112,53.40073399999983,1342015976,0.020819597,0.0,7750938624,0.8883980093187576,24037093,126833193
Vienna,6,9919,96,fine,3,56.290763189,388.6694980000002,260497664,0.005962722,0.0,7750938624,0.8246557582497802,252349987,2154505980
