city,res,origins,samples,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,external_cores,shared,separate
Vienna,6,1027,96,fine,0,11.335149953,76.24740999999999,258313488,0.007715163,8.922807445,6519721984,0.8639135821441448,44959930,435833812
Vienna,6,1027,96,free,0,1.373103214,8.823782999999992,44147344,0.0,0.80358189,6459273216,0.9148744152295741,5797136,79622408
Vienna,6,1027,96,scalar,0,7.605340669,47.961421,170608160,0.0,2.691285984,6372872192,1.1253380186883262,30468058,30468058
Vienna,6,1027,96,batched,0,2.796303508,15.180784999999986,122030256,0.0,6.510875428,6387736576,1.505278303292814,5039026,30381882
Vienna,6,1027,96,batched,1,2.002648972,12.58638400000001,73787928,0.0,0.0,6388654080,1.2851058951913874,5039026,30381882
Vienna,6,1027,96,fine,1,11.086187142,72.48187200000001,150761416,0.0,0.0,6389850112,1.2437213826007247,44959930,435833812
Vienna,6,1027,96,free,1,1.344712877,8.816637000000014,42307976,0.0,0.0,6390104064,1.1923459851287608,5797136,79622408
Vienna,6,1027,96,scalar,1,7.638100835,46.99933599999997,148300032,0.0,0.0,6401089536,1.2621807708845203,30468058,30468058
Vienna,6,1027,96,scalar,2,7.28760436,46.53740499999998,148522024,0.0,0.0,6405566464,1.113204641644858,30468058,30468058
Vienna,6,1027,96,batched,2,1.940369551,12.39660200000003,73787928,0.0,0.0,6406021120,1.1716314548794315,5039026,30381882
Vienna,6,1027,96,fine,2,10.482267392,71.24073500000003,150761416,0.0,0.0,6407938048,0.9825417168710614,44959930,435833812
Vienna,6,1027,96,free,2,1.29754593,8.63937500000003,42307976,0.0,0.0,6407938048,1.0100798512414926,5797136,79622408
Vienna,6,1027,96,free,3,1.335292981,8.696168999999998,42177104,0.0,0.0,6407938048,1.0213721028609724,5797136,79622408
Vienna,6,1027,96,scalar,3,7.236571855,46.456792000000064,148522024,0.0,0.0,6410727424,1.0810654764137453,30468058,30468058
Vienna,6,1027,96,batched,3,2.293845465,12.668434000000047,73787928,0.0,0.0,6410743808,2.162990522120726,5039026,30381882
Vienna,6,1027,96,fine,3,10.471173503,71.36682599999995,150761416,0.0,0.0,6410764288,1.0116510816030169,44959930,435833812
Salzburg,6,1027,96,fine,0,4.469712572,28.240312000000017,133931952,0.0,0.0,6510067712,0.8031138338875918,21104244,191556889
Salzburg,6,1027,96,free,0,0.812464704,5.520742999999925,39873192,0.0,0.0,6445367296,0.5406474863464619,4025175,42761041
Salzburg,6,1027,96,scalar,0,2.555205351,14.880582000000004,95159496,0.0,0.0,6444748800,0.7785746062314579,11680598,11680598
Salzburg,6,1027,96,batched,0,0.763484399,4.49120599999992,68676960,0.0,0.0,6446555136,0.7188018520825503,2278189,11651341
Salzburg,6,1027,96,batched,1,0.802321714,4.454706999999985,68676960,0.0,0.0,6446456832,0.8541374215056892,2278189,11651341
Salzburg,6,1027,96,fine,1,4.455244223,28.380990999999995,133839576,0.0,0.0,6446469120,0.8235258981102486,21104244,191556889
Salzburg,6,1027,96,free,1,0.845028084,5.5714739999999665,39855640,0.0,0.0,6446272512,0.8976340720937972,4025175,42761041
Salzburg,6,1027,96,scalar,1,2.540625521,14.966004999999996,95159496,0.0,0.0,6446280704,0.824204505051055,11680598,11680598
Salzburg,6,1027,96,scalar,2,2.529701131,15.136978999999997,95159496,0.0,0.0,6446280704,0.9182985972119371,11680598,11680598
Salzburg,6,1027,96,batched,2,0.807347854,4.553931000000034,68769336,0.0,0.0,6446317568,1.1098920937613777,2278189,11651341
Salzburg,6,1027,96,fine,2,4.660347237,28.058897,133931952,0.0,0.0,6446325760,0.9615384374066226,21104244,191556889
Salzburg,6,1027,96,free,2,0.824761068,5.584348999999975,39873192,0.0,0.0,6446325760,0.8313328873310152,4025175,42761041
