city,res,origins,departure,budget,samples,mode,exclude,variant,origin,fine_population,actual_population,signed_error
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,free,881e15b321fffff,36606.0,2.478777e6,2.442171e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,free,881e067827fffff,59912.0,2.490577e6,2.430665e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,free,881e0679d7fffff,42793.0,2.472437e6,2.429644e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,free,881e0678e3fffff,36010.0,2.458754e6,2.422744e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,free,881e067835fffff,49188.0,2.468912e6,2.419724e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,free,881e0679ddfffff,53755.0,2.472261e6,2.418506e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,free,881e0679d9fffff,42710.0,2.459894e6,2.417184e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,free,881e0679d3fffff,40547.0,2.455877e6,2.41533e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,free,881e067867fffff,47629.0,2.462815e6,2.415186e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,free,881e0679cbfffff,56818.0,2.471708e6,2.41489e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,walking,881e067827fffff,59912.0,1.975729e6,1.915817e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,walking,881e0641bdfffff,2.136814e6,236331.0,-1.900483e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,walking,881e0641b5fffff,2.094467e6,202006.0,-1.892461e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,walking,881e067821fffff,50754.0,1.94141e6,1.890656e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,walking,881e0641abfffff,2.088698e6,204092.0,-1.884606e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,walking,881e0641a1fffff,2.002398e6,127200.0,-1.875198e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,walking,881e06782dfffff,68709.0,1.943803e6,1.875094e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,walking,881e15b065fffff,127953.0,2.002306e6,1.874353e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,walking,881e0641a3fffff,2.090865e6,221415.0,-1.86945e6
Vienna,6,9919,28800000,10800000,96,mean_intersection,false,walking,881e15b315fffff,137487.0,2.001604e6,1.864117e6
