res,origin,departure,budget,fp_cells,fn_cells,fp_population,fn_population
7,881e064c03fffff,28800000,10800000,245,6936,12925.0,986064.0
7,881e064d1dfffff,28800000,10800000,70,8242,4199.0,1.288017e6
7,881e066927fffff,28800000,10800000,434,3752,58636.0,391376.0
7,881e067905fffff,28800000,10800000,69,10770,3022.0,1.36713e6
7,881e0679d5fffff,28800000,10800000,451,3481,54664.0,349763.0
7,881e15a213fffff,28800000,10800000,275,8523,33990.0,1.107174e6
7,881e15a2d1fffff,28800000,10800000,186,8670,26038.0,1.068662e6
7,881e15a639fffff,28800000,10800000,434,3752,58636.0,391376.0
7,881e15a767fffff,28800000,10800000,423,3722,56761.0,393589.0
7,881e15b0d5fffff,28800000,10800000,177,11891,28472.0,1.221554e6
7,881e15b299fffff,28800000,10800000,149,10306,9801.0,1.213784e6
7,881e15b457fffff,28800000,10800000,102,9844,4888.0,1.220131e6
7,881e15b525fffff,28800000,10800000,480,7457,67223.0,748292.0
7,881e15b5e3fffff,28800000,10800000,124,10330,8909.0,1.217858e6
7,881e15b6b1fffff,28800000,10800000,33,12697,2204.0,1.642615e6
7,881e15b76dfffff,28800000,10800000,185,11326,10988.0,1.265177e6
7,881e064c03fffff,28800000,21600000,126,18357,11060.0,1.089374e6
7,881e064d1dfffff,28800000,21600000,239,18089,11045.0,1.458551e6
7,881e066927fffff,28800000,21600000,272,13215,14481.0,725379.0
7,881e067905fffff,28800000,21600000,28,23123,377.0,1.824246e6
7,881e0679d5fffff,28800000,21600000,194,16450,13096.0,1.007463e6
7,881e15a213fffff,28800000,21600000,106,14984,1525.0,1.445233e6
7,881e15a2d1fffff,28800000,21600000,100,17267,1719.0,1.557043e6
7,881e15a639fffff,28800000,21600000,272,13215,14481.0,725379.0
7,881e15a767fffff,28800000,21600000,272,13210,14481.0,725065.0
7,881e15b0d5fffff,28800000,21600000,198,13462,8209.0,1.153769e6
7,881e15b299fffff,28800000,21600000,80,17480,1331.0,1.564676e6
7,881e15b457fffff,28800000,21600000,13,22335,36.0,1.920382e6
7,881e15b525fffff,28800000,21600000,209,12078,8296.0,413849.0
7,881e15b5e3fffff,28800000,21600000,80,18226,1331.0,1.585459e6
7,881e15b6b1fffff,28800000,21600000,11,24981,31.0,1.879901e6
