city,res,origins,departure,budget,samples,mode,exclude,variant,fine_mean,actual_mean,bias,wmae,abs_relative_p50,abs_relative_p95,min_signed,max_signed,zero_fine,zero_max_abs
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,4.991509133858268e6,5.6695224015748035e6,678013.2677165355,0.13583332205433712,0.14304016095315344,0.21351116217886856,299567.0,1.14844e6,0,0.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,4.991509133858268e6,5.6695224015748035e6,678013.2677165355,0.13583332205433712,0.14304016095315344,0.21351116217886856,299567.0,1.14844e6,0,0.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,4.991509133858268e6,4.1526858346456694e6,-838823.2992125985,0.16805003791793452,0.1750813091497541,0.21996161665381553,-1.278958e6,-349207.0,0,0.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,4.991509133858268e6,4.1124809133858266e6,-879028.2204724409,0.176104700382063,0.18352963300698563,0.22861807892724229,-1.338437e6,-353980.0,0,0.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,2.4033908582677166e6,2.4940905354330707e6,90699.67716535433,0.03773821343013995,0.03719641910437344,0.050284600357472814,59105.0,146288.0,0,0.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,2.4033908582677166e6,2.2132429212598423e6,-190147.93700787402,0.07911652669966726,0.07894385001523503,0.09153555858317326,-247300.0,-142262.0,0,0.0
Vienna,7,1027,28800000,10800000,96,mean_intersection,false,free,2.1492190993184033e6,2.2627082804284324e6,113489.18111002921,0.05280484486017309,0.04156034530791557,0.08105120975244237,0.0,1.452128e6,0,0.0
Vienna,7,1027,28800000,10800000,96,mean_intersection,false,walking,2.1492190993184033e6,1.9374145491723467e6,-211804.55014605648,0.0986751971322987,0.08267752414269545,0.24325097031540568,-1.262925e6,41622.0,0,0.0
Vienna,7,127,28800000,10800000,1,mean_intersection,false,free,5.503276338582677e6,6.241992417322835e6,738716.0787401575,0.1342320525613307,0.18037789666966914,0.19162772509896664,241772.0,1.097268e6,0,0.0
Vienna,7,127,28800000,10800000,1,mean_intersection,false,walking,5.503276338582677e6,4.667878716535433e6,-835397.6220472441,0.15180004976133796,0.15223888054249995,0.2479678832070077,-1.520075e6,-225423.0,0,0.0
