city,res,origins,departure,budget,samples,mode,exclude,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,expansions
Vienna,7,127,28800000,10800000,4,mean_intersection,false,fine,0,1.339672988,2.432037000000008,129038760,0.0,2.407591162,6881050624,3785567
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,0,0.16191583,0.22535599999999079,18936912,0.0,0.203285716,6888501248,1996193
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,0,1.391695134,2.5512609999999967,54913960,0.0,0.949100362,6900187136,2027025
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,0,0.473566145,0.8988379999999978,27416328,0.0,0.0,6904500224,1008569
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,0,0.631465049,1.1971730000000065,27417672,0.0,0.0,6915764224,1526218
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,1,0.681803446,1.2437830000000076,27417672,0.0,0.0,6917742592,1526218
Vienna,7,127,28800000,10800000,4,mean_intersection,false,fine,1,0.160452626,0.29889199999999505,33592464,0.0,0.0,6920318976,3785567
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,1,0.057922707,0.09857199999999011,17097112,0.0,0.0,6920376320,1996193
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,1,0.885541636,1.7347259999999949,37450728,0.0,0.0,6931636224,2027025
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,1,0.496105318,0.9429310000000015,27416328,0.0,0.0,6937616384,1008569
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,2,0.473438425,0.913843,27416328,0.0,0.0,6941110272,1008569
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,2,0.634514776,1.1918100000000038,27417672,0.0,0.0,6942085120,1526218
Vienna,7,127,28800000,10800000,4,mean_intersection,false,fine,2,0.159475385,0.2924780000000027,33592464,0.0,0.0,6946037760,3785567
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,2,0.059640957,0.10236100000000192,17097112,0.0,0.0,6817599488,1996193
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,2,0.908608641,1.795297000000005,37450728,0.0,0.0,6823845888,2027025
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,3,0.91448229,1.7806819999999988,37450728,0.0,0.0,6819471360,2027025
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,3,0.469979257,0.9295319999999947,27416328,0.0,0.0,6821175296,1008569
