res,origin,departure,budget,fp_cells,fn_cells,fp_population,fn_population
7,881e15b401fffff,28800000,10800000,419,6733,53203.0,609574.0
7,881e15b415fffff,28800000,10800000,115,10024,5207.0,1.234938e6
7,881e15b42bfffff,28800000,10800000,374,7515,50471.0,659213.0
7,881e15b43dfffff,28800000,10800000,541,4885,88124.0,378291.0
7,881e15b453fffff,28800000,10800000,526,5466,87801.0,405509.0
7,881e15b465fffff,28800000,10800000,298,9323,53585.0,841852.0
7,881e15b503fffff,28800000,10800000,512,6407,83873.0,562068.0
7,881e15b517fffff,28800000,10800000,111,10279,27931.0,990704.0
7,881e15b545fffff,28800000,10800000,173,12039,17812.0,1.049521e6
7,881e15b559fffff,28800000,10800000,491,8852,48059.0,701237.0
7,881e15b5c7fffff,28800000,10800000,134,9618,5099.0,1.257284e6
7,881e15b5ebfffff,28800000,10800000,132,10052,8996.0,1.107411e6
7,881e15b701fffff,28800000,10800000,218,11319,31562.0,1.169182e6
7,881e15b717fffff,28800000,10800000,295,9501,52170.0,905394.0
7,881e15b731fffff,28800000,10800000,296,9839,52171.0,931605.0
7,881e15b757fffff,28800000,10800000,117,11841,26635.0,1.09032e6
7,881e15b401fffff,28800000,21600000,130,14163,4994.0,1.359699e6
7,881e15b415fffff,28800000,21600000,13,22343,36.0,1.920634e6
7,881e15b42bfffff,28800000,21600000,130,14316,4994.0,1.362312e6
7,881e15b43dfffff,28800000,21600000,253,9485,8578.0,437066.0
7,881e15b453fffff,28800000,21600000,253,9355,8578.0,336655.0
7,881e15b465fffff,28800000,21600000,209,10771,8271.0,1.131355e6
7,881e15b503fffff,28800000,21600000,220,9871,8358.0,441561.0
7,881e15b517fffff,28800000,21600000,83,18000,1366.0,1.663418e6
7,881e15b545fffff,28800000,21600000,215,10821,8345.0,1.132453e6
7,881e15b559fffff,28800000,21600000,211,10243,8328.0,535299.0
7,881e15b5c7fffff,28800000,21600000,80,18322,1331.0,1.616992e6
7,881e15b5ebfffff,28800000,21600000,80,17501,1331.0,1.565026e6
7,881e15b701fffff,28800000,21600000,198,12452,8209.0,1.090289e6
7,881e15b717fffff,28800000,21600000,209,10771,8271.0,1.131355e6
7,881e15b731fffff,28800000,21600000,209,10771,8271.0,1.131355e6
7,881e15b757fffff,28800000,21600000,198,13583,8209.0,1.253855e6
7,881e15b401fffff,84600000,10800000,264,3565,31158.0,710867.0
7,881e15b415fffff,84600000,10800000,96,4931,14058.0,1.024594e6
7,881e15b42bfffff,84600000,10800000,319,2869,32557.0,632249.0
7,881e15b43dfffff,84600000,10800000,316,2739,36884.0,546380.0
7,881e15b453fffff,84600000,10800000,403,2047,41084.0,470664.0
7,881e15b465fffff,84600000,10800000,576,2108,171214.0,188945.0
7,881e15b503fffff,84600000,10800000,294,3342,32155.0,663728.0
7,881e15b517fffff,84600000,10800000,267,3422,35693.0,626610.0
7,881e15b545fffff,84600000,10800000,379,3360,148804.0,446640.0
7,881e15b559fffff,84600000,10800000,683,2054,208105.0,178537.0
7,881e15b5c7fffff,84600000,10800000,372,2596,39227.0,497024.0
7,881e15b5ebfffff,84600000,10800000,293,3357,39241.0,506110.0
7,881e15b701fffff,84600000,10800000,428,2590,56385.0,440338.0
7,881e15b717fffff,84600000,10800000,509,1649,65364.0,269605.0
7,881e15b731fffff,84600000,10800000,489,2406,167984.0,270242.0
7,881e15b757fffff,84600000,10800000,423,2616,56276.0,442480.0
7,881e15b401fffff,84600000,21600000,606,7925,55929.0,1.586415e6
7,881e15b415fffff,84600000,21600000,380,9579,25588.0,2.130226e6
7,881e15b42bfffff,84600000,21600000,613,7686,55977.0,1.571164e6
7,881e15b43dfffff,84600000,21600000,606,7689,55929.0,1.570996e6
7,881e15b453fffff,84600000,21600000,636,7391,56368.0,1.552268e6
7,881e15b465fffff,84600000,21600000,1295,4799,141405.0,396509.0
7,881e15b503fffff,84600000,21600000,606,8396,55929.0,1.623193e6
7,881e15b517fffff,84600000,21600000,592,8202,54623.0,1.61131e6
7,881e15b545fffff,84600000,21600000,1115,6011,107882.0,770238.0
7,881e15b559fffff,84600000,21600000,1455,4933,136277.0,458480.0
7,881e15b5c7fffff,84600000,21600000,856,6398,85872.0,1.082526e6
7,881e15b5ebfffff,84600000,21600000,567,7970,54822.0,1.590429e6
7,881e15b701fffff,84600000,21600000,981,5182,113810.0,814302.0
7,881e15b717fffff,84600000,21600000,1266,3643,144958.0,310215.0
7,881e15b731fffff,84600000,21600000,1226,4249,138010.0,388686.0
7,881e15b757fffff,84600000,21600000,981,5182,113810.0,814302.0
6,881e15b401fffff,28800000,10800000,786,9210,165606.0,895713.0
6,881e15b415fffff,28800000,10800000,786,9378,165606.0,996423.0
6,881e15b42bfffff,28800000,10800000,786,9210,165606.0,895713.0
6,881e15b43dfffff,28800000,10800000,786,9210,165606.0,895713.0
6,881e15b453fffff,28800000,10800000,739,9464,165616.0,1.04593e6
6,881e15b465fffff,28800000,10800000,294,13727,130211.0,1.422539e6
6,881e15b503fffff,28800000,10800000,2045,5968,316205.0,741412.0
6,881e15b517fffff,28800000,10800000,571,8996,21991.0,1.27719e6
6,881e15b545fffff,28800000,10800000,751,11579,71580.0,1.152836e6
6,881e15b559fffff,28800000,10800000,793,11134,66250.0,1.168549e6
6,881e15b5c7fffff,28800000,10800000,266,12377,11284.0,1.932609e6
6,881e15b5ebfffff,28800000,10800000,121,12862,3482.0,1.768683e6
6,881e15b701fffff,28800000,10800000,1157,9093,171727.0,1.028676e6
6,881e15b717fffff,28800000,10800000,1159,8701,173174.0,795912.0
6,881e15b731fffff,28800000,10800000,1157,9611,171727.0,1.09161e6
6,881e15b757fffff,28800000,10800000,933,9690,161452.0,1.049458e6
6,881e15b401fffff,28800000,21600000,216,18575,66820.0,2.237481e6
6,881e15b415fffff,28800000,21600000,216,18445,66820.0,2.13707e6
6,881e15b42bfffff,28800000,21600000,216,18575,66820.0,2.237481e6
6,881e15b43dfffff,28800000,21600000,216,18575,66820.0,2.237481e6
6,881e15b453fffff,28800000,21600000,191,18751,2436.0,3.068156e6
6,881e15b465fffff,28800000,21600000,154,22423,65468.0,3.03334e6
6,881e15b503fffff,28800000,21600000,763,11342,81683.0,1.27457e6
6,881e15b517fffff,28800000,21600000,440,17434,71060.0,1.810381e6
6,881e15b545fffff,28800000,21600000,922,10288,82294.0,1.87734e6
6,881e15b559fffff,28800000,21600000,687,12394,80033.0,1.967741e6
6,881e15b5c7fffff,28800000,21600000,97,32549,65875.0,2.853521e6
6,881e15b5ebfffff,28800000,21600000,198,23230,67630.0,2.019508e6
6,881e15b701fffff,28800000,21600000,690,12291,80048.0,1.865479e6
6,881e15b717fffff,28800000,21600000,690,12421,80048.0,1.96589e6
6,881e15b731fffff,28800000,21600000,690,12678,80048.0,1.985668e6
6,881e15b757fffff,28800000,21600000,690,12421,80048.0,1.96589e6
6,881e15b401fffff,84600000,10800000,1283,3576,128393.0,629563.0
6,881e15b415fffff,84600000,10800000,1310,3475,129164.0,511727.0
6,881e15b42bfffff,84600000,10800000,1257,3625,127226.0,637675.0
6,881e15b43dfffff,84600000,10800000,1238,3628,126821.0,637678.0
6,881e15b453fffff,84600000,10800000,1351,3287,130422.0,598411.0
6,881e15b465fffff,84600000,10800000,1309,3467,343468.0,445645.0
6,881e15b503fffff,84600000,10800000,629,5458,44504.0,1.341225e6
6,881e15b517fffff,84600000,10800000,1366,4656,174918.0,940167.0
6,881e15b545fffff,84600000,10800000,1126,4568,127576.0,920750.0
6,881e15b559fffff,84600000,10800000,1061,4537,306366.0,644958.0
6,881e15b5c7fffff,84600000,10800000,436,5140,35823.0,1.231531e6
6,881e15b5ebfffff,84600000,10800000,290,5775,22007.0,1.331367e6
6,881e15b701fffff,84600000,10800000,797,3744,62956.0,1.110585e6
6,881e15b717fffff,84600000,10800000,832,3268,73083.0,845652.0
6,881e15b731fffff,84600000,10800000,1074,3212,296724.0,731573.0
6,881e15b757fffff,84600000,10800000,797,3749,62956.0,1.110665e6
6,881e15b401fffff,84600000,21600000,3375,7194,260827.0,1.22641e6
6,881e15b415fffff,84600000,21600000,3392,7194,261141.0,1.22641e6
6,881e15b42bfffff,84600000,21600000,2718,8308,200530.0,1.681971e6
6,881e15b43dfffff,84600000,21600000,2706,8308,200475.0,1.681971e6
6,881e15b453fffff,84600000,21600000,3386,7071,259447.0,1.22108e6
6,881e15b465fffff,84600000,21600000,3434,7310,261418.0,1.230308e6
6,881e15b503fffff,84600000,21600000,1551,11848,70379.0,2.645683e6
6,881e15b517fffff,84600000,21600000,4072,6290,405491.0,925462.0
6,881e15b545fffff,84600000,21600000,3324,8049,270303.0,1.627974e6
6,881e15b559fffff,84600000,21600000,3323,9293,256820.0,1.685767e6
6,881e15b5c7fffff,84600000,21600000,1349,10997,59816.0,2.393703e6
6,881e15b5ebfffff,84600000,21600000,1186,12292,52576.0,2.751636e6
6,881e15b701fffff,84600000,21600000,1798,9515,78667.0,2.233185e6
6,881e15b717fffff,84600000,21600000,1861,8952,83029.0,2.139876e6
6,881e15b731fffff,84600000,21600000,2530,7860,143381.0,1.686477e6
6,881e15b757fffff,84600000,21600000,1798,9515,78667.0,2.233185e6
7,881f89a133fffff,28800000,10800000,375,3590,65188.0,280104.0
7,881f89a18dfffff,28800000,10800000,211,6971,38362.0,1.299691e6
7,881f89a1a7fffff,28800000,10800000,707,5312,96502.0,1.005222e6
7,881f89a1b9fffff,28800000,10800000,707,5310,96502.0,1.00511e6
7,881f89a1e9fffff,28800000,10800000,211,6882,38362.0,1.105321e6
7,881f89a8dbfffff,28800000,10800000,234,6907,39375.0,1.111697e6
7,881f89aa8dfffff,28800000,10800000,381,3663,65208.0,295080.0
7,881f89aaabfffff,28800000,10800000,523,5323,152602.0,724149.0
7,881f89aac1fffff,28800000,10800000,381,3677,65208.0,295196.0
7,881f89aadbfffff,28800000,10800000,209,6935,38384.0,1.108644e6
7,881f89ae6dfffff,28800000,10800000,182,7868,30839.0,1.20304e6
7,881f89af11fffff,28800000,10800000,281,4548,44850.0,834612.0
7,881f89af29fffff,28800000,10800000,182,7673,31111.0,1.169174e6
7,881f89af47fffff,28800000,10800000,286,8945,36992.0,2.139563e6
7,881f89af5bfffff,28800000,10800000,213,7088,39201.0,1.306376e6
7,881f89af6dfffff,28800000,10800000,99,12430,25187.0,2.96333e6
7,881f89a133fffff,28800000,21600000,307,16657,14911.0,899231.0
7,881f89a18dfffff,28800000,21600000,266,19168,13053.0,1.33662e6
7,881f89a1a7fffff,28800000,21600000,206,15373,9148.0,643196.0
7,881f89a1b9fffff,28800000,21600000,206,15373,9148.0,643196.0
7,881f89a1e9fffff,28800000,21600000,266,19163,13053.0,1.336603e6
7,881f89a8dbfffff,28800000,21600000,268,19209,13055.0,1.339699e6
7,881f89aa8dfffff,28800000,21600000,307,16657,14911.0,899231.0
7,881f89aaabfffff,28800000,21600000,291,16357,14844.0,998511.0
7,881f89aac1fffff,28800000,21600000,307,16657,14911.0,899231.0
7,881f89aadbfffff,28800000,21600000,266,19221,13053.0,1.339749e6
7,881f89ae6dfffff,28800000,21600000,268,19271,13055.0,1.350342e6
7,881f89af11fffff,28800000,21600000,290,17665,11664.0,935632.0
7,881f89af29fffff,28800000,21600000,268,19214,13055.0,1.339982e6
7,881f89af47fffff,28800000,21600000,81,24286,5026.0,2.030973e6
7,881f89af5bfffff,28800000,21600000,268,19214,13055.0,1.339716e6
7,881f89af6dfffff,28800000,21600000,83,27166,5028.0,2.375399e6
7,881f89a133fffff,84600000,10800000,32,1913,5951.0,509580.0
7,881f89a18dfffff,84600000,10800000,222,981,44907.0,113584.0
7,881f89a1a7fffff,84600000,10800000,215,1145,41194.0,145496.0
7,881f89a1b9fffff,84600000,10800000,215,939,40581.0,113846.0
7,881f89a1e9fffff,84600000,10800000,74,1471,9812.0,475229.0
7,881f89a8dbfffff,84600000,10800000,189,1394,41996.0,150100.0
7,881f89aa8dfffff,84600000,10800000,167,1611,36823.0,193969.0
7,881f89aaabfffff,84600000,10800000,178,1462,37967.0,165338.0
7,881f89aac1fffff,84600000,10800000,180,1570,41169.0,175514.0
7,881f89aadbfffff,84600000,10800000,190,1235,42015.0,130964.0
7,881f89ae6dfffff,84600000,10800000,182,1408,41342.0,152895.0
7,881f89af11fffff,84600000,10800000,37,1329,6501.0,127124.0
7,881f89af29fffff,84600000,10800000,189,1398,41996.0,150087.0
7,881f89af47fffff,84600000,10800000,176,1473,37648.0,171592.0
7,881f89af5bfffff,84600000,10800000,31,1915,5932.0,514326.0
7,881f89af6dfffff,84600000,10800000,175,1400,37549.0,162043.0
7,881f89a133fffff,84600000,21600000,459,7912,63198.0,3.389727e6
7,881f89a18dfffff,84600000,21600000,1015,2430,126023.0,355970.0
7,881f89a1a7fffff,84600000,21600000,1053,2455,125113.0,357429.0
7,881f89a1b9fffff,84600000,21600000,1052,2329,128038.0,343916.0
7,881f89a1e9fffff,84600000,21600000,487,7802,64567.0,3.384014e6
7,881f89a8dbfffff,84600000,21600000,1029,2531,126856.0,354544.0
7,881f89aa8dfffff,84600000,21600000,965,2772,120442.0,382115.0
7,881f89aaabfffff,84600000,21600000,1023,2588,123741.0,364344.0
7,881f89aac1fffff,84600000,21600000,970,2715,123527.0,372315.0
7,881f89aadbfffff,84600000,21600000,1030,2487,127134.0,351841.0
7,881f89ae6dfffff,84600000,21600000,984,2560,124373.0,362365.0
7,881f89af11fffff,84600000,21600000,611,1138,97118.0,157026.0
7,881f89af29fffff,84600000,21600000,1029,2531,126856.0,354544.0
7,881f89af47fffff,84600000,21600000,1023,2589,123741.0,364346.0
7,881f89af5bfffff,84600000,21600000,458,7867,62920.0,3.386673e6
7,881f89af6dfffff,84600000,21600000,1025,2555,123661.0,363801.0
6,881f89a133fffff,28800000,10800000,1575,3002,196738.0,266897.0
6,881f89a18dfffff,28800000,10800000,767,5698,95461.0,1.210672e6
6,881f89a1a7fffff,28800000,10800000,2108,6000,415418.0,754889.0
6,881f89a1b9fffff,28800000,10800000,2152,5980,418619.0,754063.0
6,881f89a1e9fffff,28800000,10800000,767,5639,95461.0,1.016494e6
6,881f89a8dbfffff,28800000,10800000,731,5731,92586.0,1.448667e6
6,881f89aa8dfffff,28800000,10800000,1581,3079,196614.0,278867.0
6,881f89aaabfffff,28800000,10800000,729,6522,92344.0,1.094637e6
6,881f89aac1fffff,28800000,10800000,940,3996,125886.0,402426.0
6,881f89aadbfffff,28800000,10800000,723,5668,92221.0,1.017909e6
6,881f89ae6dfffff,28800000,10800000,819,6568,97412.0,1.471194e6
6,881f89af11fffff,28800000,10800000,277,5071,23871.0,1.068741e6
6,881f89af29fffff,28800000,10800000,729,6763,92467.0,1.527488e6
6,881f89af47fffff,28800000,10800000,905,8545,112253.0,1.694264e6
6,881f89af5bfffff,28800000,10800000,801,5698,95414.0,1.437963e6
6,881f89af6dfffff,28800000,10800000,477,11239,74308.0,2.876477e6
6,881f89a133fffff,28800000,21600000,557,22841,30109.0,1.91795e6
6,881f89a18dfffff,28800000,21600000,486,25375,27556.0,2.357773e6
6,881f89a1a7fffff,28800000,21600000,428,26015,25281.0,2.44652e6
6,881f89a1b9fffff,28800000,21600000,428,26015,25281.0,2.44652e6
6,881f89a1e9fffff,28800000,21600000,486,25375,27556.0,2.357773e6
6,881f89a8dbfffff,28800000,21600000,486,25407,27556.0,2.358024e6
6,881f89aa8dfffff,28800000,21600000,557,22841,30109.0,1.91795e6
6,881f89aaabfffff,28800000,21600000,484,25370,27417.0,2.357869e6
6,881f89aac1fffff,28800000,21600000,682,22005,33616.0,1.88653e6
6,881f89aadbfffff,28800000,21600000,486,25375,27556.0,2.357773e6
6,881f89ae6dfffff,28800000,21600000,484,25363,27417.0,2.35394e6
6,881f89af11fffff,28800000,21600000,147,31885,1849.0,3.152858e6
6,881f89af29fffff,28800000,21600000,484,25410,27417.0,2.358168e6
6,881f89af47fffff,28800000,21600000,384,28478,25122.0,2.902081e6
6,881f89af5bfffff,28800000,21600000,488,25362,27684.0,2.353924e6
6,881f89af6dfffff,28800000,21600000,351,33414,24758.0,3.398953e6
6,881f89a133fffff,84600000,10800000,1042,952,198326.0,82458.0
6,881f89a18dfffff,84600000,10800000,1018,639,177672.0,53501.0
6,881f89a1a7fffff,84600000,10800000,1009,670,174733.0,54374.0
6,881f89a1b9fffff,84600000,10800000,981,711,187481.0,60428.0
6,881f89a1e9fffff,84600000,10800000,1018,639,177672.0,53501.0
6,881f89a8dbfffff,84600000,10800000,74,1530,7252.0,477022.0
6,881f89aa8dfffff,84600000,10800000,62,1657,2846.0,506697.0
6,881f89aaabfffff,84600000,10800000,951,981,170278.0,83181.0
6,881f89aac1fffff,84600000,10800000,75,1571,7192.0,484437.0
6,881f89aadbfffff,84600000,10800000,1040,716,197689.0,62630.0
6,881f89ae6dfffff,84600000,10800000,209,1147,20568.0,443007.0
