city,res,origins,departure,budget,samples,mode,exclude,variant,origin,fine_population,actual_population,signed_error
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,881e15b4e5fffff,4.540828e6,5.689268e6,1.14844e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,881e15b433fffff,4.621068e6,5.697097e6,1.076029e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,881e15b419fffff,4.635952e6,5.695423e6,1.059471e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,881e15b4edfffff,4.636279e6,5.695498e6,1.059219e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,881e15b5c5fffff,4.647871e6,5.656237e6,1.008366e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,881e15b411fffff,4.687082e6,5.695434e6,1.008352e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,881e15b45bfffff,4.693038e6,5.695509e6,1.002471e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,881e15b417fffff,4.687082e6,5.686766e6,999684.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,881e15b5c1fffff,4.690949e6,5.683491e6,992542.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,881e15b5e1fffff,4.731453e6,5.722019e6,990566.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,881e15b4e5fffff,4.540828e6,5.689268e6,1.14844e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,881e15b433fffff,4.621068e6,5.697097e6,1.076029e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,881e15b419fffff,4.635952e6,5.695423e6,1.059471e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,881e15b4edfffff,4.636279e6,5.695498e6,1.059219e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,881e15b5c5fffff,4.647871e6,5.656237e6,1.008366e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,881e15b411fffff,4.687082e6,5.695434e6,1.008352e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,881e15b45bfffff,4.693038e6,5.695509e6,1.002471e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,881e15b417fffff,4.687082e6,5.686766e6,999684.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,881e15b5c1fffff,4.690949e6,5.683491e6,992542.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,881e15b5e1fffff,4.731453e6,5.722019e6,990566.0
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,881e15b701fffff,5.236082e6,3.957124e6,-1.278958e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,881e15b635fffff,5.140725e6,3.927591e6,-1.213134e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,881e15b70bfffff,5.248927e6,4.067764e6,-1.181163e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,881e15b707fffff,5.241252e6,4.085332e6,-1.15592e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,881e15b627fffff,5.148381e6,3.994684e6,-1.153697e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,881e15b449fffff,5.140725e6,3.995267e6,-1.145458e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,881e15b721fffff,5.203651e6,4.071364e6,-1.132287e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,881e15b711fffff,5.213758e6,4.084228e6,-1.12953e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,881e15b44dfffff,5.148381e6,4.025204e6,-1.123177e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,881e15b71bfffff,5.148393e6,4.028098e6,-1.120295e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,881e15b701fffff,5.236082e6,3.897645e6,-1.338437e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,881e15b635fffff,5.140725e6,3.875728e6,-1.264997e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,881e15b70bfffff,5.248927e6,4.038321e6,-1.210606e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,881e15b707fffff,5.241252e6,4.034464e6,-1.206788e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,881e15b449fffff,5.140725e6,3.946237e6,-1.194488e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,881e15b711fffff,5.213758e6,4.019777e6,-1.193981e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,881e15b627fffff,5.148381e6,3.975913e6,-1.172468e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,881e15b721fffff,5.203651e6,4.032749e6,-1.170902e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,881e15b44dfffff,5.148381e6,3.983867e6,-1.164514e6
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,881e15b757fffff,5.21377e6,4.049913e6,-1.163857e6
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,881e15b433fffff,2.300363e6,2.446651e6,146288.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,881e15b5cbfffff,2.368971e6,2.506979e6,138008.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,881e15b411fffff,2.312978e6,2.440421e6,127443.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,881e15b43bfffff,2.309779e6,2.435327e6,125548.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,881e15b415fffff,2.310734e6,2.435327e6,124593.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,881e15b4edfffff,2.300044e6,2.418917e6,118873.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,881e15b453fffff,2.387476e6,2.504695e6,117219.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,881e15b4e5fffff,2.300044e6,2.416871e6,116827.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,881e15b459fffff,2.378118e6,2.494596e6,116478.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,881e15b451fffff,2.378152e6,2.494596e6,116444.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b457fffff,2.423427e6,2.176127e6,-247300.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b455fffff,2.423427e6,2.17844e6,-244987.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b62dfffff,2.449105e6,2.205535e6,-243570.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b621fffff,2.434081e6,2.198127e6,-235954.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b445fffff,2.44693e6,2.217055e6,-229875.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b419fffff,2.372684e6,2.144646e6,-228038.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b625fffff,2.442398e6,2.217247e6,-225151.0
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,881e15b717fffff,2.446975e6,2.226881e6,-220094.0
