city,res,origins,departure,budget,samples,mode,exclude,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,expansions
Vienna,7,127,28800000,10800000,4,mean_intersection,false,fine,0,1.266965357,2.4301579999999916,129036872,0.0,2.209395095,4587003904,3785567
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,0,0.161373737,0.22341299999999364,17768432,0.0,0.206711521,4576616448,1996193
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,0,1.633543737,3.132952000000003,47793776,0.0,0.657938381,4597694464,2027025
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,0,0.677432442,1.3152860000000004,25955336,0.0,0.0,4610109440,1008569
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,0,0.855098749,1.6554949999999877,25956680,0.0,0.0,4610355200,1526218
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,1,0.854011882,1.6798339999999996,25956680,0.0,0.0,4612902912,1526218
Vienna,7,127,28800000,10800000,4,mean_intersection,false,fine,1,0.208983016,0.33835200000000043,33591952,0.0,0.0,4615577600,3785567
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,1,0.067482543,0.10507099999999525,15928728,0.0,0.0,4618403840,1996193
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,1,1.3224594,2.5930390000000045,35397160,0.0,0.0,4629262336,2027025
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,1,0.702529215,1.333020999999988,25955336,0.0,0.0,4630138880,1008569
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,2,0.685798338,1.3108339999999998,25955336,0.0,0.0,4631433216,1008569
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,2,0.881304889,1.6730600000000067,25956680,0.0,0.0,4637134848,1526218
Vienna,7,127,28800000,10800000,4,mean_intersection,false,fine,2,0.154774408,0.2875529999999884,33591952,0.0,0.0,4638777344,3785567
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,2,0.049117631,0.08330799999998817,15928728,0.0,0.0,4639252480,1996193
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,2,1.283258752,2.5468779999999924,35397160,0.0,0.0,4648128512,2027025
Vienna,7,127,28800000,10800000,4,mean_intersection,false,zero,3,1.323505749,2.5984260000000035,35397160,0.0,0.0,4667879424,2027025
Vienna,7,127,28800000,10800000,4,mean_intersection,false,walking,3,0.688979676,1.324676999999994,25955336,0.0,0.0,4575473664,1008569
Vienna,7,127,28800000,10800000,4,mean_intersection,false,independent,3,0.854899796,1.6468969999999956,25956680,0.0,0.0,4579549184,1526218
Vienna,7,127,28800000,10800000,4,mean_intersection,false,fine,3,0.172483418,0.31460500000000025,33591952,0.0,0.0,4581249024,3785567
Vienna,7,127,28800000,10800000,4,mean_intersection,false,free,3,0.059686962,0.10468699999999842,15928728,0.0,0.0,4581572608,1996193
Vienna,7,127,28800000,10800000,96,mean_intersection,false,fine,0,2.859127074,5.569552999999999,35343496,0.0,0.0,4639055872,64846166
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,0,0.862730525,1.7080689999999947,16850456,0.0,0.0,4640043008,30195362
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,0,12.659469677,24.291219999999996,30730200,0.0,0.0,4644687872,16973097
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,1,12.617298577,24.22649899999999,30730200,0.0,0.0,4649242624,16973097
Vienna,7,127,28800000,10800000,96,mean_intersection,false,fine,1,2.882496061,5.620815000000022,35343496,0.0,0.0,4649721856,64846166
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,1,0.894971087,1.7297790000000077,16850456,0.0,0.0,4650078208,30195362
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,2,0.85515162,1.6873520000000042,16850456,0.0,0.0,4650496000,30195362
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,2,11.545494869,22.27842800000002,30730200,0.0,0.0,4651757568,16973097
Vienna,7,127,28800000,10800000,96,mean_intersection,false,fine,2,2.639116679,5.0955160000000035,35343496,0.0,0.0,4652253184,64846166
Vienna,7,127,28800000,10800000,96,mean_intersection,false,fine,3,2.681189705,5.223970000000008,35343496,0.0,0.0,4652400640,64846166
Vienna,7,127,28800000,10800000,96,mean_intersection,false,free,3,0.797810403,1.571364999999986,16850456,0.0,0.0,4652650496,30195362
Vienna,7,127,28800000,10800000,96,mean_intersection,false,walking,3,11.848014564,22.65462500000001,30730200,0.0,0.0,4655505408,16973097
