origin,samples,fine_cells,fixed_cells,missing,extra,missing_population,extra_population,signed_mean_ms,mae_ms,absolute_p95_ms,absolute_max_ms,later
881fa44001fffff,1,65,109,0,44,0.0,187383.0,-269630.76923076925,269630.76923076925,780800.0,1.38e6,0
881fa44001fffff,3,96,161,0,65,0.0,274150.0,-222486.1111111111,222486.1111111111,610000.0,1.3e6,0
881fa44085fffff,1,149,260,0,111,0.0,240177.0,-256691.27516778524,256691.27516778524,811199.9999999998,1.186e6,0
881fa44085fffff,3,200,330,0,130,0.0,262974.0,-216381.6666666667,216381.6666666667,778416.6666666665,1.202e6,0
881fa44109fffff,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
881fa44109fffff,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
881fa4418dfffff,1,123,211,0,88,0.0,215453.0,-340967.47967479675,340967.47967479675,1.0120999999999999e6,1.44e6,0
881fa4418dfffff,3,199,314,0,115,0.0,212202.0,-272013.4003350084,272013.4003350084,759100.0,1.04e6,0
881fa4456dfffff,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
881fa4456dfffff,3,4,6,0,2,0.0,2169.0,-79000.0,79000.0,129000.0,132000.0,0
881fa44ae7fffff,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
881fa44ae7fffff,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
881fa44e69fffff,1,93,148,0,55,0.0,189650.0,-222913.97849462365,222913.97849462365,664800.0,864000.0,0
881fa44e69fffff,3,140,221,0,81,0.0,247986.0,-221985.7142857143,221985.7142857143,675233.3333333333,846666.6666666667,0
881fa44f6dfffff,1,50,92,0,42,0.0,238492.0,-289280.0,289280.0,1.0904999999999998e6,1.166e6,0
881fa44f6dfffff,3,100,155,0,55,0.0,261349.0,-234523.33333333337,234523.33333333337,964049.9999999998,1.166e6,0
