case,core_resolution,origins,zero_sum,fine_sum,fixed_sum,signed_sum,absolute_sum,wmae,relative_p50,relative_p95,relative_max,absolute_p95,absolute_max,min_signed,max_signed,under,over,zero_to_positive,fine_below_zero,fixed_below_zero,zero_s,fine_s,fixed_s
reported,7,331,5.6011366e7,5.6011366e7,9.3462445e7,3.7451079e7,3.7451079e7,0.6686335591244106,0.6819778016048199,4.361937377922153,14.295580110497237,273329.5,359619.0,0.0,359619.0,0,255,0,0,0,1.012854418,1.441004926,1.834138283
near_B900000_W180000,7,7,734084.0,734084.0,2.219463e6,1.485379e6,1.485379e6,2.0234455457413594,2.063279331985165,5.659993565456606,6.670079180996561,273127.5,276498.0,140591.0,276498.0,0,7,0,0,0,0.005229113,0.005187655,0.009413044
near_B900000_W360000,7,7,734084.0,734084.0,2.219463e6,1.485379e6,1.485379e6,2.0234455457413594,2.063279331985165,5.659993565456606,6.670079180996561,273127.5,276498.0,140591.0,276498.0,0,7,0,0,0,0.005240092,0.005255598,0.008169426
near_B900000_W900000,7,7,734084.0,963138.0,2.655196e6,1.692058e6,1.692058e6,1.7568178184226975,1.7912045714880767,2.112627649651918,2.1221187654642533,281517.8,284219.0,130366.0,284219.0,0,7,0,0,0,0.006371038,0.006023405,0.009065367
near_B1800000_W180000,7,7,4.351204e6,4.351204e6,5.950908e6,1.599704e6,1.599704e6,0.36764628824573614,0.34366177844606155,0.4687443238681348,0.48270517265142115,271088.0,283103.0,197028.0,283103.0,0,7,0,0,0,0.005385491,0.005366117,0.009108311
near_B1800000_W360000,7,7,4.351204e6,4.351204e6,5.950908e6,1.599704e6,1.599704e6,0.36764628824573614,0.34366177844606155,0.4687443238681348,0.48270517265142115,271088.0,283103.0,197028.0,283103.0,0,7,0,0,0,0.005311143,0.005405992,0.008259394
near_B1800000_W900000,7,7,4.351204e6,4.839828e6,6.671304e6,1.831476e6,1.831476e6,0.3784175801288806,0.3678650224482643,0.4457207100868521,0.45211088221969586,294184.5,299874.0,237090.0,299874.0,0,7,0,0,0,0.005734709,0.00585271,0.009480937
near_B3600000_W180000,7,7,1.1080497e7,1.1080497e7,1.2662842e7,1.582345e6,1.582345e6,0.1428045149960331,0.14375664958527729,0.1450474259193803,0.1451824932111605,230911.30000000002,231187.0,219376.0,231187.0,0,7,0,0,0,0.006145066,0.006021442,0.009903958
near_B3600000_W360000,7,7,1.1080497e7,1.1080497e7,1.2662842e7,1.582345e6,1.582345e6,0.1428045149960331,0.14375664958527729,0.1450474259193803,0.1451824932111605,230911.30000000002,231187.0,219376.0,231187.0,0,7,0,0,0,0.008002755,0.006030224,0.009789682
near_B3600000_W900000,7,7,1.1080497e7,1.2252508e7,1.3633962e7,1.381454e6,1.381454e6,0.11274867153728853,0.11176369066291017,0.11689178595626515,0.11705249671417364,205205.5,205288.0,189183.0,205288.0,0,7,0,0,0,0.007519659,0.009875898,0.01693734
moved_B900000_W180000,7,7,445223.0,445223.0,1.478371e6,1.033148e6,1.033148e6,2.320518032536504,2.752950500139225,5.842226017314817,6.670079180996561,242484.5,248642.0,52877.0,248642.0,0,7,0,0,0,0.005118002,0.005093352,0.007673091
moved_B900000_W360000,7,7,445223.0,445223.0,1.478371e6,1.033148e6,1.033148e6,2.320518032536504,2.752950500139225,5.842226017314817,6.670079180996561,242484.5,248642.0,52877.0,248642.0,0,7,0,0,0,0.005706346,0.005330138,0.008399358
moved_B900000_W900000,7,7,445223.0,828227.0,2.008368e6,1.180141e6,1.180141e6,1.4249004198124426,1.571013270172934,2.112627649651918,2.1221187654642533,263194.1,272234.0,61852.0,272234.0,0,7,0,0,0,0.005170991,0.005593714,0.008905772
