case,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,maxrss,workers,shared,separate
reported,zero,0,64.852575537,17.91251699999998,3222921376,0.250457147,5.820215551,20261240832,25002221568,5,2663680,10175694
reported,fine,0,687.304359729,16.969227000000046,3128590352,0.190116591,0.0,23340433408,25002221568,5,2663680,10175694
reported,fixed,0,4.170912292,10.494836999999961,4085681264,0.879337446,6.597497735,20484714496,25002221568,5,5273846,20327686
reported,fixed,1,1.834138283,6.155709000000115,3964380840,0.414519098,0.0,20895412224,25002221568,5,5273846,20327686
reported,zero,1,0.999465791,3.810946000000058,3128563616,0.198981829,0.0,22949224448,25002221568,5,2663680,10175694
reported,fine,1,1.441004926,4.6503060000000005,3128590352,0.284256738,0.0,26075701248,26074763264,5,2663680,10175694
reported,fine,2,3.759093237,4.592901999999867,3128590352,0.178621221,0.0,29201899520,29200699392,5,2663680,10175694
reported,fixed,2,2.789267519,5.733765999999832,3964381176,0.587462296,0.0,21274357760,29712605184,5,5273846,20327686
reported,zero,2,1.012854418,3.7307720000001154,3128562160,0.186097835,0.0,22979035136,29712605184,5,2663680,10175694
reported,zero,3,1.351994121,4.600041999999803,3128567744,0.266909388,0.0,26105229312,29712605184,5,2663680,10175694
reported,fine,3,1.18208961,4.074723000000176,3128590352,0.183587906,0.0,29231423488,29712605184,5,2663680,10175694
reported,fixed,3,1.734235067,5.312754999999925,3964379800,0.389340166,0.0,24877363200,29712605184,5,5273846,20327686
near_B900000_W180000,zero,0,0.005985265,0.006646999999929903,142749312,0.0,0.0,24223006720,29712605184,1,153,428
near_B900000_W180000,fine,0,0.005913876,0.005850999999893247,142749360,0.0,0.0,24223006720,29712605184,1,153,428
near_B900000_W180000,fixed,0,0.007706205,0.009290999999848282,228434192,0.0,0.0,21312860160,29712605184,1,430,630
near_B900000_W180000,fixed,1,0.007570933,0.007890999999972337,228434192,0.0,0.0,21312860160,29712605184,1,430,630
near_B900000_W180000,zero,1,0.005318801,0.005386000000044078,142749312,0.0,0.0,21312905216,29712605184,1,153,428
near_B900000_W180000,fine,1,0.005187655,0.006215999999994892,142749360,0.0,0.0,21312905216,29712605184,1,153,428
near_B900000_W180000,fine,2,0.005155704,0.005644000000074811,142749360,0.0,0.0,21312905216,29712605184,1,153,428
near_B900000_W180000,fixed,2,0.014645499,0.015578000000004977,228434192,0.0,0.0,21324509184,29712605184,1,430,630
near_B900000_W180000,zero,2,0.005149427,0.005643999999847438,142749312,0.0,0.0,19117514752,29712605184,1,153,428
near_B900000_W180000,zero,3,0.005229113,0.005675000000110231,142749312,0.0,0.0,19117514752,29712605184,1,153,428
near_B900000_W180000,fine,3,0.005333363,0.005858999999873049,142749360,0.0,0.0,19117514752,29712605184,1,153,428
near_B900000_W180000,fixed,3,0.009413044,0.009092999999893436,228434192,0.0,0.0,19117989888,29712605184,1,430,630
near_B900000_W360000,zero,0,0.005281145,0.005912999999964086,142749312,0.0,0.0,19117989888,29712605184,1,153,428
near_B900000_W360000,fine,0,0.005206526,0.005729999999857682,142749360,0.0,0.0,19117989888,29712605184,1,153,428
near_B900000_W360000,fixed,0,0.010641673,0.012185000000044965,228436656,0.0,0.0,19121950720,29712605184,1,430,630
near_B900000_W360000,fixed,1,0.007743704,0.008563999999978478,228436656,0.0,0.0,19121950720,29712605184,1,430,630
near_B900000_W360000,zero,1,0.006307658,0.006527000000005501,142749312,0.0,0.0,19121950720,29712605184,1,153,428
near_B900000_W360000,fine,1,0.005567749,0.00641700000005585,142749360,0.0,0.0,19121950720,29712605184,1,153,428
near_B900000_W360000,fine,2,0.005255598,0.006037999999989552,142749360,0.0,0.0,19121950720,29712605184,1,153,428
near_B900000_W360000,fixed,2,0.008169426,0.007684000000153901,228436656,0.0,0.0,19121950720,29712605184,1,430,630
near_B900000_W360000,zero,2,0.005240092,0.005758999999898151,142749312,0.0,0.0,19121950720,29712605184,1,153,428
near_B900000_W360000,zero,3,0.00489048,0.005423999999948137,142749312,0.0,0.0,19121950720,29712605184,1,153,428
near_B900000_W360000,fine,3,0.005173858,0.005726000000095155,142749360,0.0,0.0,19121950720,29712605184,1,153,428
near_B900000_W360000,fixed,3,0.009565255,0.010475999999925989,228436656,0.0,0.0,19122282496,29712605184,1,430,630
near_B900000_W900000,zero,0,0.00626276,0.006685999999945125,142749312,0.0,0.0,19122302976,29712605184,1,153,428
near_B900000_W900000,fine,0,0.005160936,0.005159999999932552,142780888,0.0,0.0,19122302976,29712605184,1,283,587
near_B900000_W900000,fixed,0,0.017501204,0.020058999999946536,228453032,0.0,0.0,19140141056,29712605184,1,518,752
near_B900000_W900000,fixed,1,0.009065367,0.008980999999948835,228453032,0.0,0.0,19140141056,29712605184,1,518,752
near_B900000_W900000,zero,1,0.005869574,0.006105999999817868,142749312,0.0,0.0,19140141056,29712605184,1,153,428
near_B900000_W900000,fine,1,0.006023405,0.006484000000000378,142780888,0.0,0.0,19140141056,29712605184,1,283,587
near_B900000_W900000,fine,2,0.005600837,0.006215999999994892,142780888,0.0,0.0,19140141056,29712605184,1,283,587
near_B900000_W900000,fixed,2,0.008033104,0.007992999999942185,228453032,0.0,0.0,19140141056,29712605184,1,518,752
near_B900000_W900000,zero,2,0.006371038,0.0063760000000456785,142749312,0.0,0.0,19140141056,29712605184,1,153,428
near_B900000_W900000,zero,3,0.006545139,0.0066520000000309665,142749312,0.0,0.0,19140141056,29712605184,1,153,428
near_B900000_W900000,fine,3,0.00621596,0.006317000000080952,142780888,0.0,0.0,19140141056,29712605184,1,283,587
near_B900000_W900000,fixed,3,0.01158036,0.015687999999954627,228453032,0.0,0.0,19140141056,29712605184,1,518,752
near_B1800000_W180000,zero,0,0.005783889,0.006099999999833017,142782776,0.0,0.0,19140141056,29712605184,1,467,2633
near_B1800000_W180000,fine,0,0.005436288,0.0061619999999038555,142782824,0.0,0.0,19140141056,29712605184,1,467,2633
near_B1800000_W180000,fixed,0,0.009443535,0.011209999999891807,228458272,0.0,0.0,19140141056,29712605184,1,1450,3254
near_B1800000_W180000,fixed,1,0.00817272,0.007967000000007829,228458272,0.0,0.0,19140141056,29712605184,1,1450,3254
near_B1800000_W180000,zero,1,0.00529333,0.00574800000003961,142782776,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W180000,fine,1,0.005397429,0.005730999999968844,142782824,0.0,0.0,19140145152,29712605184,1,467,2633
near_B1800000_W180000,fine,2,0.00523091,0.005801999999903273,142782824,0.0,0.0,19140145152,29712605184,1,467,2633
