city,core,departure_ms,budget_h,origins,false_positive,false_negative,fp_population,fn_population
Vienna,8,28800000,3,16,0,0,0.0,0.0
Vienna,8,28800000,6,16,0,0,0.0,0.0
Vienna,8,84600000,3,16,0,0,0.0,0.0
Vienna,8,84600000,6,16,0,0,0.0,0.0
Vienna,6,28800000,3,16,234596,0,2.1289247e7,0.0
Vienna,7,28800000,3,16,82357,0,1.0425656e7,0.0
Vienna,6,28800000,6,16,131984,0,1.3551492e7,0.0
Vienna,7,28800000,6,16,45644,0,5.095832e6,0.0
Vienna,6,84600000,3,16,92642,0,1.4212684e7,0.0
Vienna,7,84600000,3,16,29426,0,6.55675e6,0.0
Vienna,6,84600000,6,16,251499,0,2.839453e7,0.0
Vienna,7,84600000,6,16,59101,0,1.0841263e7,0.0
Salzburg,8,28800000,3,16,0,0,0.0,0.0
Salzburg,8,28800000,6,16,0,0,0.0,0.0
Salzburg,8,84600000,3,16,0,0,0.0,0.0
Salzburg,8,84600000,6,16,0,0,0.0,0.0
Salzburg,6,28800000,3,16,148457,0,2.3540171e7,0.0
Salzburg,7,28800000,3,16,30442,0,6.982892e6,0.0
Salzburg,6,28800000,6,16,182858,0,1.1122175e7,0.0
Salzburg,7,28800000,6,16,44898,0,2.989165e6,0.0
Salzburg,6,84600000,3,16,21648,0,3.453553e6,0.0
Salzburg,7,84600000,3,16,3948,0,671395.0,0.0
Salzburg,6,84600000,6,16,119466,0,1.5957855e7,0.0
Salzburg,7,84600000,6,16,22865,0,3.867215e6,0.0
