city,radius,samples,step_ms,hours,mode,fine_sum,bias,wmae,relative_p50,relative_p95,relative_max,min_signed,max_signed,fine_median_s,warm_median_s,prepared_set_cold_s
Paris,6,4,60000,3,mean_intersection,3.466391858e9,-4.364240622047244e6,0.15989495178418459,0.1374434204710523,0.33912019930496456,0.343499774886262,-9.330909e6,-80074.0,0.555075934,0.128331852,116.97270680400001
Paris,6,4,60000,3,reachable_union,3.5699848695e9,-3.989823812992126e6,0.14193551030959067,0.11658224275274218,0.3317787424235196,0.3397160703383959,-9.4756285e6,-230589.75,0.572043964,0.17263356,117.017008512
Paris,18,96,900000,3,mean_intersection,1.0990363955e10,-124740.31256085687,0.02695893986888444,0.025183799135113257,0.05342524844993123,0.16539218925249866,-647492.0,1.42484e6,33.952613719,5.195262019,122.03963697100001
Paris,18,96,900000,3,reachable_union,2.165785184678125e10,-3.7686406359745217e6,0.17870627061847985,0.18398603798609817,0.25926135283309276,0.30761692151331643,-6.635244906250011e6,-188034.41666668653,34.232508698,5.157454556,122.00182950800001
Paris,18,96,60000,3,mean_intersection,1.8479622441e10,-3.457280158714703e6,0.19213740618002922,0.19649066363403384,0.28167993111672596,0.34771297545776114,-6.535345e6,-61641.0,20.788976205,3.203004552,120.047379504
Paris,18,96,60000,3,reachable_union,2.658731210061458e10,-5.428823949194666e6,0.2097016116079686,0.22220076131901656,0.3025607392048192,0.3523341808975681,-9.465412718749937e6,-196647.68750000745,20.602409619,3.047275011,119.891649963
Paris,6,180,60000,6,mean_intersection,1.7228014299e10,-3.46996198031496e7,0.25579568477928394,0.25347192097515403,0.33937271342890024,0.3493534868291043,-4.7523493e7,-1.8734113e7,66.517301504,12.955404197,129.79977914900002
Paris,6,180,60000,6,reachable_union,2.1632599352566658e10,-2.9278525314916994e7,0.17188746735390734,0.16161338557652566,0.26293055390939446,0.26778390417998543,-4.514759545555575e7,-1.4672071477777988e7,68.014645306,12.669212727,129.513587679
Paris,6,180,60000,12,mean_intersection,3.5202040406e10,-1.6123865244094487e7,0.05817080096445135,0.058485271741549195,0.07086005114442749,0.07324441286813405,-2.0609183e7,-1.1988055e7,129.828598992,28.616096807,145.460471759
Paris,6,180,60000,12,reachable_union,3.7664971489016655e10,-1.533515175349881e7,0.051707573262395036,0.05064785936478085,0.06327626344762122,0.06527905189180588,-1.9277478777777255e7,-1.2469698294444323e7,130.768988835,27.617561579,144.46193653100002
London,6,4,60000,3,mean_intersection,5.617241694e9,-5.65581720472441e6,0.12787215222859877,0.12710120116598653,0.20801795732436892,0.2822788424182541,-1.1922509e7,-329837.0,0.824944625,0.157043293,120.212942083
London,6,4,60000,3,reachable_union,5.7817422505e9,-5.5223229862204725e6,0.12130167497337833,0.11697484848710743,0.20389328956419778,0.2609879865930037,-1.119704375e7,-186164.75,0.834657733,0.167516614,120.223415404
London,18,96,900000,3,mean_intersection,1.1496219702e10,379629.6689386563,0.039069199236150785,0.03545852088210449,0.09518156626730359,0.1640585348335503,-611525.0,1.623819e6,64.601952357,9.648927122,129.704825912
London,18,96,900000,3,reachable_union,3.530836133888543e10,-6.953170556535984e6,0.202244054687922,0.21130505262019456,0.27037635520375736,0.3281276697426082,-1.2459306500000037e7,-480270.9479165152,63.65292555,9.335326183,129.391224973
London,18,96,60000,3,mean_intersection,3.5263153293e10,-7.549310567672834e6,0.21986524825444514,0.2226493850008584,0.3049650586933326,0.3685784843652762,-1.3513187e7,-942405.0,43.004291021,5.955469493,126.011368283
London,18,96,60000,3,reachable_union,4.475106653336464e10,-9.3905354335951e6,0.21550502898320692,0.23093685628499216,0.29813611050454975,0.34573914538477074,-1.627519509375019e7,-404022.197916843,42.992912809,5.83685885,125.89275764
London,6,180,60000,6,mean_intersection,1.2859500247e10,-1.5719724236220472e7,0.15524747771327602,0.14104088546647903,0.4137737675640342,0.42268351563472695,-4.318998e7,-5.598889e6,48.971713491,10.440236103,130.496134893
London,6,180,60000,6,reachable_union,1.534541637059443e10,-1.8754353166360516e7,0.15521265729171757,0.15180574603775507,0.4419383682824756,0.47934874832207675,-5.812874426111072e7,-6.245350533333406e6,47.597743448,9.610368928,129.666267718
London,6,180,60000,12,mean_intersection,3.1303955948e10,-3.9776519165354334e7,0.16137314856919055,0.13307548808082126,0.5276749797659883,0.5393300300466929,-1.32005367e8,-1.6280425e7,121.23590553,25.720808908,145.776707698
London,6,180,60000,12,reachable_union,3.3628174974994446e10,-2.7162445261024103e7,0.10258155700436226,0.08540435955627808,0.373553483941278,0.42310353440384896,-1.113045609111116e8,-1.229023718888846e7,115.930485981,26.667652533,146.723551323
