city,radius,samples,step_ms,mode,fine_s,coarse_s,fine_sum,bias,wmae,relative_p50,relative_p95,relative_max,min_signed,max_signed,negative,positive
Paris,18,96,900000,mean_intersection,34.609306603,7.788403428,1.0990363955e10,-124740.31256085687,0.02695893986888444,0.025183799135113257,0.05342524844993123,0.16539218925249866,-647492.0,1.42484e6,763,264
Paris,18,96,900000,reachable_union,35.481923556,8.057790691,2.165785184678125e10,-3.7686406359745217e6,0.17870627061847985,0.18398603798609817,0.25926135283309276,0.30761692151331643,-6.635244906250011e6,-188034.41666668653,1027,0
Paris,18,96,60000,mean_intersection,20.756045218,5.059306707,1.8479622441e10,-3.457280158714703e6,0.19213740618002922,0.19649066363403384,0.28167993111672596,0.34771297545776114,-6.535345e6,-61641.0,1027,0
Paris,18,96,60000,reachable_union,21.397440349,5.082716556,2.658731210061458e10,-5.428823949194666e6,0.2097016116079686,0.22220076131901628,0.3025607392048192,0.3523341808975681,-9.465412718749937e6,-196647.68750000745,1027,0
Paris_moved,18,96,60000,mean_intersection,21.066356044,5.113628357,1.8513017578e10,-3.494865994157741e6,0.19387586928374492,0.19961907430089015,0.2824831227780333,0.34771297545776114,-6.535345e6,-61641.0,1027,0
Paris_large,57,96,60000,mean_intersection,116.503409448,22.796998146,1.16744608997e11,-1.4059914431898377e6,0.12822424990420475,0.09502529209658378,0.5641786107119631,26.36028647337415,-1.1777101e7,6.850205e6,8720,980
London,18,96,900000,mean_intersection,66.738716586,14.160082529,1.1496219702e10,379629.6689386563,0.039069199236150785,0.03545852088210449,0.09518156626730359,0.1640585348335503,-611525.0,1.623819e6,141,886
London,18,96,900000,reachable_union,67.493189047,14.446727768,3.530836133888543e10,-6.953170556535984e6,0.202244054687922,0.21130505262019456,0.27037635520375736,0.3281276697426082,-1.2459306500000037e7,-480270.9479165152,1027,0
London,18,96,60000,mean_intersection,44.70095777,8.995167297,3.5263153293e10,-7.549310567672834e6,0.21986524825444514,0.2226493850008584,0.3049650586933326,0.3685784843652762,-1.3513187e7,-942405.0,1027,0
London,18,96,60000,reachable_union,45.214582923,8.949361923,4.475106653336464e10,-9.3905354335951e6,0.21550502898320692,0.23093685628499216,0.29813611050454975,0.34573914538477074,-1.627519509375019e7,-404022.197916843,1027,0
London_moved,18,96,60000,mean_intersection,45.300195193,8.989620025,3.5186953746e10,-7.474457072054528e6,0.21815663465532667,0.22114921692329864,0.30380933507038677,0.3685784843652762,-1.3513187e7,-942405.0,1027,0
