city,radius,samples,step_ms,mode,variant,pair,wall_s,bytes,gc_s,compile_s,rss,shared,separate
Paris,18,96,900000,mean_intersection,fine,0,36.588037426,5183406312,0.0,7.637281179,32401137664,93340325,1279804009
Paris,18,96,900000,mean_intersection,coarse,0,10.40621494,3193526040,0.0,10.7954754,35425890304,8295521,68647513
Paris,18,96,900000,mean_intersection,coarse,1,8.034401364,3039161168,0.0,0.0,31905423360,8295521,68647513
Paris,18,96,900000,mean_intersection,fine,1,35.738141195,5087758328,0.002434561,0.0,34054205440,93340325,1279804009
Paris,18,96,900000,mean_intersection,fine,2,34.318318744,5087751112,0.003304335,0.0,37580472320,93340325,1279804009
Paris,18,96,900000,mean_intersection,coarse,2,7.670497654,3039161856,0.0,0.0,35087298560,8295521,68647513
Paris,18,96,900000,mean_intersection,coarse,3,7.788403428,3038719048,0.0,0.0,31619125248,8295521,68647513
Paris,18,96,900000,mean_intersection,fine,3,34.609306603,5087757640,0.002927383,0.0,33757499392,93340325,1279804009
Paris,18,96,900000,reachable_union,fine,0,34.942703682,5084102872,0.002390733,0.0,37289525248,93340325,1279804009
Paris,18,96,900000,reachable_union,coarse,0,7.769949762,3035060776,0.0,0.0,35148394496,8295521,68647513
Paris,18,96,900000,reachable_union,coarse,1,8.057790691,3034511336,0.0,0.0,31640911872,8295521,68647513
Paris,18,96,900000,reachable_union,fine,1,35.29466008,5084102184,0.002565432,0.0,33792339968,93340325,1279804009
Paris,18,96,900000,reachable_union,fine,2,35.481923556,5084103560,0.004566389,0.0,37336592384,93340325,1279804009
Paris,18,96,900000,reachable_union,coarse,2,7.76238692,3035056584,0.0,0.0,35167219712,8295521,68647513
Paris,18,96,900000,reachable_union,coarse,3,8.253212553,3035066344,0.0,0.0,31659610112,8295521,68647513
Paris,18,96,900000,reachable_union,fine,3,36.130015583,5084102184,0.003150179,0.0,33811095552,93340325,1279804009
Paris,18,96,60000,mean_intersection,fine,0,21.475055429,5077334864,0.002710088,0.0,37331357696,71800130,194066727
Paris,18,96,60000,mean_intersection,coarse,0,5.329737312,3033860432,0.0,0.0,35215294464,4296881,12360979
Paris,18,96,60000,mean_intersection,coarse,1,5.442514968,3033866688,0.0,0.0,31648448512,4296881,12360979
Paris,18,96,60000,mean_intersection,fine,1,21.568353026,5076887176,0.00296801,0.0,33833201664,71800130,194066727
Paris,18,96,60000,mean_intersection,fine,2,20.756045218,5076888552,0.002371296,0.0,37350461440,71800130,194066727
Paris,18,96,60000,mean_intersection,coarse,2,4.963467369,3033860432,0.0,0.0,35204014080,4296881,12360979
Paris,18,96,60000,mean_intersection,coarse,3,5.059306707,3033866000,0.0,0.0,31655333888,4296881,12360979
Paris,18,96,60000,mean_intersection,fine,3,20.628986882,5076885800,0.002581813,0.0,33833885696,71800130,194066727
Paris,18,96,60000,reachable_union,fine,0,20.99997343,5072675768,0.002435634,0.0,37359464448,71800130,194066727
Paris,18,96,60000,reachable_union,coarse,0,4.988548957,3029644144,0.0,0.0,35229921280,4296881,12360979
Paris,18,96,60000,reachable_union,coarse,1,5.082716556,3029653216,0.0,0.0,31664267264,4296881,12360979
Paris,18,96,60000,reachable_union,fine,1,21.397440349,5072564464,0.00242964,0.0,33848049664,71800130,194066727
Paris,18,96,60000,reachable_union,fine,2,21.462360841,5072565152,0.002453054,0.0,37373153280,71800130,194066727
Paris,18,96,60000,reachable_union,coarse,2,5.130257681,3029627280,0.0,0.0,35226021888,4296881,12360979
Paris,18,96,60000,reachable_union,coarse,3,4.838909039,3029649712,0.0,0.0,31667367936,4296881,12360979
Paris,18,96,60000,reachable_union,fine,3,20.279048547,5072563088,0.002943502,0.0,33849491456,71800130,194066727
Paris_moved,18,96,60000,mean_intersection,fine,0,20.712744176,5075405056,0.002545453,0.0,37367238656,70928863,194612174
Paris_moved,18,96,60000,mean_intersection,coarse,0,4.868469314,3033986424,0.0,0.0,35231850496,4222260,12354358
Paris_moved,18,96,60000,mean_intersection,coarse,1,5.097866227,3034009544,0.0,0.0,31670276096,4222260,12354358
Paris_moved,18,96,60000,mean_intersection,fine,1,21.013693841,5076694192,0.003186435,0.0,33862213632,70928863,194612174
Paris_moved,18,96,60000,mean_intersection,fine,2,21.066356044,5075408832,0.002797069,0.0,37382303744,70928863,194612174
Paris_moved,18,96,60000,mean_intersection,coarse,2,5.113628357,3034018024,0.0,0.0,35236171776,4222260,12354358
Paris_moved,18,96,60000,mean_intersection,coarse,3,5.11822356,3034027096,0.0,0.0,31701176320,4222260,12354358
Paris_moved,18,96,60000,mean_intersection,fine,3,21.437751643,5075408144,0.002473021,0.0,33866993664,70928863,194612174
Paris_large,57,96,60000,mean_intersection,fine,0,113.275563015,5160857768,0.006289207,0.0,32645214208,437290366,887249926
Paris_large,57,96,60000,mean_intersection,coarse,0,22.034527602,16229784704,0.402181153,0.0,35727511552,25285254,50815691
Paris_large,57,96,60000,mean_intersection,coarse,1,22.132459686,16229773104,0.709125216,0.0,30907138048,25285254,50815691
Paris_large,57,96,60000,mean_intersection,fine,1,116.503409448,5160849928,0.010427263,0.0,34018529280,437290366,887249926
Paris_large,57,96,60000,mean_intersection,fine,2,117.628611933,5161844040,0.009711544,0.0,37531697152,437290366,887249926
