city,radius,samples,step_ms,mode,origin,fine,coarse,signed_error
Paris,18,96,900000,mean_intersection,881fb09141fffff,1.06105e7,1.0273242e7,-337258.0
Paris,18,96,900000,mean_intersection,881fb09143fffff,1.028485e7,1.0113152e7,-171698.0
Paris,18,96,900000,mean_intersection,881fb09145fffff,1.063486e7,1.0376176e7,-258684.0
Paris,18,96,900000,mean_intersection,881fb09147fffff,1.0404756e7,1.0194174e7,-210582.0
Paris,18,96,900000,mean_intersection,881fb09149fffff,1.046554e7,1.035546e7,-110080.0
Paris,18,96,900000,mean_intersection,881fb0914bfffff,1.0457031e7,1.0161899e7,-295132.0
Paris,18,96,900000,mean_intersection,881fb0914dfffff,1.0675231e7,1.0518627e7,-156604.0
Paris,18,96,900000,mean_intersection,881fb0915dfffff,1.0129348e7,1.0075152e7,-54196.0
Paris,18,96,900000,mean_intersection,881fb09161fffff,1.0017033e7,1.0122462e7,105429.0
Paris,18,96,900000,mean_intersection,881fb09165fffff,9.985661e6,1.0176806e7,191145.0
Paris,18,96,900000,mean_intersection,881fb09169fffff,1.0304825e7,1.0152941e7,-151884.0
Paris,18,96,900000,mean_intersection,881fb0916bfffff,1.028618e7,1.0172889e7,-113291.0
Paris,18,96,900000,mean_intersection,881fb0916dfffff,1.0251768e7,1.019961e7,-52158.0
Paris,18,96,900000,mean_intersection,881fb09301fffff,1.0484745e7,1.01868e7,-297945.0
Paris,18,96,900000,mean_intersection,881fb09303fffff,1.0516773e7,1.0349865e7,-166908.0
Paris,18,96,900000,mean_intersection,881fb09305fffff,1.0546061e7,1.0194586e7,-351475.0
Paris,18,96,900000,mean_intersection,881fb09307fffff,1.0011921e7,1.0087534e7,75613.0
Paris,18,96,900000,mean_intersection,881fb09309fffff,1.065042e7,1.0349877e7,-300543.0
Paris,18,96,900000,mean_intersection,881fb0930bfffff,1.0402147e7,1.0293875e7,-108272.0
Paris,18,96,900000,mean_intersection,881fb0930dfffff,1.0751948e7,1.0492189e7,-259759.0
Paris,18,96,900000,mean_intersection,881fb09321fffff,1.0434073e7,1.0200802e7,-233271.0
Paris,18,96,900000,mean_intersection,881fb09323fffff,1.025712e7,1.0200672e7,-56448.0
Paris,18,96,900000,mean_intersection,881fb09325fffff,1.0647677e7,1.0540535e7,-107142.0
Paris,18,96,900000,mean_intersection,881fb09327fffff,1.0487501e7,1.0390181e7,-97320.0
Paris,18,96,900000,mean_intersection,881fb09329fffff,1.0524281e7,1.0194355e7,-329926.0
Paris,18,96,900000,mean_intersection,881fb0932bfffff,1.0186321e7,1.0177411e7,-8910.0
Paris,18,96,900000,mean_intersection,881fb0932dfffff,1.0511821e7,1.0215518e7,-296303.0
Paris,18,96,900000,mean_intersection,881fb09331fffff,1.0128889e7,1.0159576e7,30687.0
Paris,18,96,900000,mean_intersection,881fb09335fffff,1.053597e7,1.0331294e7,-204676.0
Paris,18,96,900000,mean_intersection,881fb09337fffff,1.0123111e7,1.030397e7,180859.0
Paris,18,96,900000,mean_intersection,881fb09339fffff,9.997677e6,1.0147917e7,150240.0
Paris,18,96,900000,mean_intersection,881fb0933dfffff,1.0144254e7,1.015873e7,14476.0
Paris,18,96,900000,mean_intersection,881fb09341fffff,1.0264049e7,1.0324702e7,60653.0
Paris,18,96,900000,mean_intersection,881fb09343fffff,1.0258413e7,1.0268752e7,10339.0
