city,radius,origins,departure_ms,budget_h,samples,mode,exclude,core,fine_mean,coarse_mean,bias,mae,wmae,relative_p50,relative_p95,relative_max,zero_baselines,zero_max_abs,min_signed_error,varying_fine_parents,varying_coarse_parents,within_parent_correlation,rank_correlation
Vienna,6,127,28800000,3,96,mean_intersection,false,7,2.4033908582677166e6,2.4940905354330707e6,90699.67716535433,90699.67716535433,0.03773821343013995,0.03719641910437344,0.050284600357472814,0.06359344155683255,0,0.0,59105.0,22,22,0.7811642956542842,0.8517813027111171
Vienna,6,127,28800000,3,96,mean_intersection,false,6,2.4033908582677166e6,2.6432530078740157e6,239862.1496062992,239862.1496062992,0.09980155694658163,0.09749842856746263,0.11818729672168138,0.12485420779242233,0,0.0,200824.0,5,6,0.8023865089662464,0.8360235571235398
Vienna,18,1027,28800000,3,96,mean_intersection,false,7,2.1492190993184033e6,2.2627082804284324e6,113489.18111002921,113489.18111002921,0.05280484486017309,0.04156034530791557,0.08105120975244237,34.93211450565312,0,0.0,0.0,162,162,0.9532392738728048,0.9603517352309664
Vienna,18,1027,28800000,3,96,mean_intersection,false,6,2.1492190993184033e6,2.4639571694255113e6,314738.0701071081,314738.0701071081,0.1464429895523091,0.11609681290174816,0.24754550170790512,98.06973564266181,0,0.0,0.0,30,30,0.8434855635487432,0.922255770453272
Vienna,6,127,28800000,3,1,mean_intersection,false,7,5.503276338582677e6,6.241992417322835e6,738716.0787401575,738716.0787401575,0.1342320525613307,0.18037789666966914,0.19162772509896664,0.20696207294791205,0,0.0,241772.0,22,16,0.09314371783907281,0.7065787402976926
Vienna,6,127,28800000,3,1,mean_intersection,false,6,5.503276338582677e6,6.672921905511811e6,1.1696455669291338e6,1.1696455669291338e6,0.21253622296393102,0.26032312968104904,0.2690937244126336,0.3012688372949251,0,0.0,659228.0,6,5,0.11062433802306786,0.5186879023673383
Vienna,6,127,28800000,3,4,mean_intersection,false,7,4.991509133858268e6,5.6695224015748035e6,678013.2677165355,678013.2677165355,0.13583332205433712,0.14304016095315344,0.21351116217886856,0.25291422621601173,0,0.0,299567.0,24,22,0.6049963999559459,0.7773022118737738
Vienna,6,127,28800000,3,4,mean_intersection,false,6,4.991509133858268e6,6.341034826771653e6,1.3495256929133858e6,1.3495256929133858e6,0.2703642639375976,0.27199312416057825,0.3576646621501395,0.4015250082143609,0,0.0,942994.0,6,5,0.39392785458718965,0.47027935621836436
Vienna,6,127,72000000,3,96,reachable_union,false,7,5.011754337926513e6,5.489807210629923e6,478052.8727034112,478052.8727034112,0.09538633390023533,0.09400599714512704,0.1454751225673771,0.1664611881152505,0,0.0,266157.9374999786,24,24,0.8312110855488729,0.9337446100487441
Vienna,6,127,72000000,3,96,reachable_union,false,6,5.011754337926513e6,6.05251361343504e6,1.0407592755085283e6,1.0407592755085283e6,0.20766366532225447,0.20600913640262908,0.27160484526586226,0.3014102791407221,0,0.0,784511.4166666558,6,6,0.6523460050484481,0.7527201960584712
