"start_lat","start_lon","finish_lat","finish_lon","avg_speed_kmh","count"
45.749,4.826,45.761,4.859,22.078458640828256,41
47.386,0.724,47.39,0.693,26.792141438759188,16
44.637,-1.143,44.659,-1.165,36.24048896932157,1
47.247,6.022,47.307,5.954,42.568252647805366,2
43.459,-1.546,43.497,-1.47,45.92279635598831,10
45.039,6.831,45.194,6.659,47.672646050987495,6
45.486,6.531,45.554,6.649,49.85530730934763,5
44.637,-0.966,44.659,-1.165,50.45279824023333,1
48.726,2.258,48.796,2.136,50.889683417578304,2
45.574,6.734,45.619,6.771,51.149634843368304,5
46.199,6.236,46.369,6.482,51.68955945063225,1
48.476,7.947,48.585,7.734,52.12065871649288,2
46.109,5.823,46.199,6.236,54.204419826030346,2
43.353,-1.782,43.386,-1.661,54.69161824411491,10
47.283,-2.433,47.29,-2.507,56.74098731226966,2
48.016,6.599,48.178,6.442,58.03465978641466,4
47.27,-2.345,47.288,-2.389,58.6253940657389,2
47.283,-2.433,47.288,-2.389,59.284193996075366,2
43.586,7.12,43.705,7.262,60.00835042995161,15
45.571,5.92,45.673,6.383,60.072682975292516,5
45.554,6.649,45.574,6.734,60.083013991737566,5
46.369,6.482,46.398,6.577,60.30316283158275,1
47.288,-2.389,47.29,-2.507,61.07357886796311,7
47.27,-2.345,47.286,-2.211,61.67267843775431,2
43.424,6.769,43.554,7.02,61.76481949303977,13
50.372,3.09,50.427,2.828,61.8671893902571,1
45.688,5.909,45.902,6.122,61.90960551602826,11
47.286,-2.211,47.288,-2.389,62.20290033744405,7
48.556,-3.143,48.728,-3.46,62.46688406760815,1
46.061,6.583,46.199,6.236,63.80253043103312,1
43.386,-1.661,43.459,-1.546,64.94090913324773,10
43.554,7.02,43.586,7.12,65.83789713190984,15
43.109,6.124,43.128,5.929,66.92668590006079,2
43.128,5.929,43.303,5.38,67.05160898755264,18
45.194,6.659,45.278,6.355,68.46752260483105,2
45.191,5.715,45.721,5.075,68.6218668561403,15
49.695,4.93,49.768,4.724,68.98805233644136,4
48.796,2.136,48.99,1.703,69.08856420687889,2
45.443,4.4,45.761,4.859,69.50407934405142,8
45.194,6.659,45.571,5.92,69.55247533658651,4
44.637,-1.143,44.637,-0.966,70.12565650089172,1
50.521,2.641,50.725,2.541,70.3313061058302,9
45.486,6.531,45.673,6.383,71.83091052036009,5
45.906,6.701,45.936,6.636,71.91813091421315,1
45.039,6.831,45.074,7.667,72.4763562382175,6
43.456,6.482,43.554,7.02,72.64876507514494,2
49.354,6.169,49.6,6.135,72.91848150388043,15
43.1,-0.042,43.24,0.069,74.09637679928683,9
50.363,3.517,50.372,3.09,74.32975280431627,9
44.826,-0.557,44.916,-0.236,74.46852402875565,6
45.278,6.355,45.571,5.92,74.70034843247626,2
46.582,0.333,46.67,0.377,74.76085532373146,5
47.998,7.842,48.249,7.773,75.28986322211668,2
50.287,2.781,50.427,2.828,75.34247035015483,10
47.743,7.343,48.074,7.348,76.04040917732179,9
50.716,1.61,50.901,1.811,76.16740623725626,10
45.571,5.92,45.688,5.909,76.42561155956446,11
43.128,5.929,43.455,5.318,76.89988217996226,1
43.611,1.454,44.014,1.341,77.25723451589087,6
46.5,-1.781,46.672,-1.436,77.69718254124138,4
43.484,-0.768,43.72,-1.05,78.76326566320441,6
43.336,3.219,43.595,3.924,79.0581122113661,2
48.282,6.949,48.588,6.497,79.47318421080219,1
45.936,6.636,46.061,6.583,79.55205111570822,1
43.497,-1.47,43.72,-1.05,79.55725319717914,10
48.738,7.053,48.744,7.362,79.63871308095818,2
43.1,-0.042,43.292,-0.37,80.34969009984373,9
50.372,3.09,50.639,3.076,80.4907936274405,2
43.611,1.454,44.208,0.621,80.52764420698985,4
48.282,6.949,48.69,6.175,81.11720308131676,1
48.104,-1.673,48.647,-2.004,81.55641178825634,2
48.104,-1.673,48.544,-1.751,82.26946931015635,5
50.372,3.09,50.637,3.07,82.46006025385476,3
48.726,2.261,48.87,2.783,82.7895857006725,22
48.588,6.497,48.69,6.175,83.36145627639978,2
49.504,4.37,49.768,4.724,84.15072688128274,4
48.178,6.442,48.69,6.175,84.31285049106478,4
49.109,6.177,49.354,6.169,84.65637644305272,15
43.581,5,43.685,4.632,84.67436847310466,4
48.585,7.734,48.744,7.362,85.26729127182777,2
50.517,1.643,50.716,1.61,85.57378821457525,3
46.406,-0.201,46.582,0.333,86.05138037355461,6
45.074,7.667,45.485,9.188,86.11442815339481,6
43.336,3.219,43.605,3.881,86.14425329261567,4
44.637,-0.966,44.826,-0.557,86.28414737185697,2
48.726,2.261,48.841,2.321,86.54641922880283,11
46.672,-1.436,47.217,-1.542,87.67434411089566,4
48.388,-4.48,48.454,-4.257,88.22088672207644,2
43.942,4.805,44.137,4.82,88.77523983928104,6
49.449,1.094,49.493,0.125,89.01397056457527,2
43.303,5.38,43.455,5.318,89.3339377078342,46
47.217,-1.542,47.286,-2.211,89.90501052093799,10
43.611,1.454,44.826,-0.557,89.92371151349077,2
46.319,-0.455,46.406,-0.201,90.84545413978202,7
45.571,5.92,46.283,4.779,91.466493570156,16
46.113,-0.762,46.153,-1.146,92.0723700696742,12
50.427,2.828,50.521,2.641,92.08294805530076,9
46.153,-1.146,46.319,-0.455,92.4785025691145,3
46.319,-0.455,46.582,0.333,92.73542547140626,5
43.128,5.929,43.424,6.769,93.12528305750453,8
43.317,3.466,43.336,3.219,93.21567227675617,9
48.341,7.835,48.476,7.947,93.92493070590413,1
44.208,0.621,44.826,-0.557,94.3190464625881,11
43.128,5.929,43.456,6.482,94.52184547395642,7
48.99,1.703,49.449,1.094,94.57335861198779,2
43.292,-0.37,43.72,-1.05,94.94794597588017,3
48.544,-1.751,48.647,-2.004,95.35977784001182,5
48.454,-4.257,48.578,-3.833,95.6187724409398,2
48.104,-1.673,48.123,-1.212,95.89947606210563,5
48.249,7.773,48.341,7.835,95.9099829376888,1
50.416,1.648,50.517,1.643,96.0721776891048,3
45.761,4.859,46.303,4.825,96.74943688585347,6
42.696,2.879,43.191,3.006,97.28176973421927,13
50.287,2.781,50.372,3.09,97.7877516558455,13
48.388,-4.48,48.578,-3.833,97.8364197204361,11
50.725,2.541,51.03,2.369,98.29218019171161,9
47.665,-2.752,48.104,-1.673,98.38116899003386,11
43.317,3.466,43.413,3.697,99.089675442522,9
43.424,6.769,43.456,6.482,99.27181240032542,5
46.67,0.377,46.819,0.549,99.33686133042676,5
48.249,7.773,48.476,7.947,100.20109913509964,1
43.336,3.219,43.413,3.697,100.50370263376092,4
47.652,-2.088,48.104,-1.673,101.24334144472685,6
47.96,-3.833,47.994,-4.092,101.67749733458044,6
47.585,6.898,47.743,7.343,101.97324658060501,22
48.69,6.175,48.738,7.053,102.40422621475416,1
43.72,-1.05,44.826,-0.557,102.73403761131487,19
47.323,5.027,47.619,4.336,102.8506887264669,9
50.287,2.781,50.637,3.07,103.46864445760313,2
43.413,3.697,43.595,3.924,104.38462444774606,7
46.303,4.825,47.023,4.848,104.4880447670755,2
47.756,-3.366,47.869,-3.553,104.49796192065884,6
46.582,0.333,46.819,0.549,104.60454122039647,5
