"start_lat","start_lon","finish_lat","finish_lon","speed","count"
24.292,82.794,24.439,82.976,52.78896683287665,4
58.924,12.305,58.936,12.28,30.37350986322771,4
47.926,22.745,47.942,22.657,20.373365960433144,12
18.613,79.392,18.879,79.449,93.22205016900689,14
28.203,76.61,28.613,77.116,70.67409966047788,2
51.478,11.987,51.501,12.06,68.01049565881996,30
46.754,-71.298,46.819,-71.215,22.929383863694007,13
52.916,-1.463,53.024,-1.483,103.75625791800177,19
47.927,18.212,47.996,18.175,80.96276245700716,28
52.999,9.124,53.008,9.081,90.3283679374593,152
47.601,8.227,47.609,8.24,40.50755328276301,90
13.552,76.008,13.591,75.974,52.367340302100224,52
46.446,6.217,46.454,6.215,26.791107870827478,105
44.515,23.574,44.552,23.511,64.94005997041604,1
40.673,-73.509,40.677,-73.469,51.0391813025696,1
51.1,-2.523,51.227,-2.31,94.94733963768064,16
51.831,4.836,51.832,4.878,58.50787938122724,68
29.211,73.455,29.241,73.524,74.28871203287238,2
47.638,18.83,47.648,18.819,39.849470889857656,61
46.585,6.43,46.593,6.414,44.5890700706778,36
35.705,139.636,35.705,139.65,75.4609685481496,986
50.598,17.649,50.606,17.705,80.79285330468899,23
49.573,5.995,49.595,6.121,80.85360050822159,38
48.853,16.059,48.865,16.049,38.77421034908844,35
49.236,8.908,49.238,9.101,84.54498196149389,1
45.151,5.324,45.191,5.715,68.70018183620184,14
51.284,12.469,51.306,12.461,50.29885202412463,34
47.436,9.131,47.462,9.041,63.22458252949642,5
49.779,14.683,49.833,14.698,66.29195986118417,76
46.713,6.37,46.776,6.28,65.79959452193987,4
49.156,16.506,49.167,16.607,55.79462732168053,6
43.257,11.707,43.283,11.603,53.588976680380355,2
54.181,8.907,54.198,8.911,57.40899246733742,40
20.901,76.059,20.904,76.122,97.66146074181852,4
44.897,-0.317,44.916,-0.236,100.6164951712234,103
23.25,87.87,23.495,87.298,87.9490130973232,102
25.245,83.409,25.253,83.351,50.84347492642097,8
49.004,2.571,50.835,4.335,188.95058843361937,7
35.475,139.549,35.478,139.566,91.15164287064407,532
56.899,14.556,58.417,15.625,132.2093747801423,1
25.446,81.828,25.552,82.091,28.608036185199243,6
48.796,1.602,48.829,1.669,84.88750795892469,92
46.151,13.857,46.159,13.814,51.69009922210674,21
52.304,-0.676,52.631,-1.125,123.91708314622272,4
46.511,6.494,46.517,6.63,62.48577825177253,83
45.201,4.036,45.206,3.992,70.11962596055373,26
13.016,77.011,13.055,77.119,74.55443812569064,4
27.625,78.137,27.767,78.11,73.14833892235603,2
43.941,4.806,44.138,4.819,100.82852862124581,42
50.36,13.864,50.361,13.823,44.486210228287085,40
46.332,10.889,46.344,10.907,55.70659470131143,23
23.624,85.47,23.637,85.372,54.63185927628058,10
43.487,5.231,43.581,5,98.84497733847319,48
46.617,-81.434,46.706,-81.557,54.76962126368597,2
12.973,79.136,13.098,79.179,62.289785401471484,4
47.06,-0.88,47.217,-1.542,53.16111438858093,4
44.652,26.293,44.666,26.368,66.34627036594897,11
48.418,-122.335,48.72,-122.511,79.99897304194604,4
60.119,24.473,60.137,24.51,72.44568528774845,153
42.288,-83.743,42.307,-83.235,93.19163019758093,6
47.846,20.67,47.891,20.764,86.42471873354368,44
51.291,6.787,51.43,6.776,132.1780511873047,358
