"c","probe","company"
341,"1970-01-02 00:00:00.000","ter"
11762,"1970-01-02 00:00:00.000","uk"
19353,"1970-01-02 00:00:00.000","swiss"
253,"1970-01-02 00:00:00.000","intercites"
178,"1970-01-02 00:00:00.000","tgv"
799,"1970-01-02 00:00:00.000","sncb"
766,"1970-01-02 00:05:00.000","sncb"
331,"1970-01-02 00:05:00.000","ter"
11236,"1970-01-02 00:05:00.000","uk"
20244,"1970-01-02 00:05:00.000","swiss"
247,"1970-01-02 00:05:00.000","intercites"
159,"1970-01-02 00:05:00.000","tgv"
20916,"1970-01-02 00:10:00.000","swiss"
10426,"1970-01-02 00:10:00.000","uk"
307,"1970-01-02 00:10:00.000","ter"
246,"1970-01-02 00:10:00.000","intercites"
137,"1970-01-02 00:10:00.000","tgv"
739,"1970-01-02 00:10:00.000","sncb"
651,"1970-01-02 00:15:00.000","sncb"
278,"1970-01-02 00:15:00.000","ter"
9876,"1970-01-02 00:15:00.000","uk"
20477,"1970-01-02 00:15:00.000","swiss"
132,"1970-01-02 00:15:00.000","tgv"
243,"1970-01-02 00:15:00.000","intercites"
254,"1970-01-02 00:20:00.000","ter"
9356,"1970-01-02 00:20:00.000","uk"
20872,"1970-01-02 00:20:00.000","swiss"
112,"1970-01-02 00:20:00.000","tgv"
243,"1970-01-02 00:20:00.000","intercites"
564,"1970-01-02 00:20:00.000","sncb"
243,"1970-01-02 00:25:00.000","intercites"
101,"1970-01-02 00:25:00.000","tgv"
223,"1970-01-02 00:25:00.000","ter"
8666,"1970-01-02 00:25:00.000","uk"
20999,"1970-01-02 00:25:00.000","swiss"
484,"1970-01-02 00:25:00.000","sncb"
8131,"1970-01-02 00:30:00.000","uk"
185,"1970-01-02 00:30:00.000","ter"
20915,"1970-01-02 00:30:00.000","swiss"
242,"1970-01-02 00:30:00.000","intercites"
81,"1970-01-02 00:30:00.000","tgv"
435,"1970-01-02 00:30:00.000","sncb"
242,"1970-01-02 00:35:00.000","intercites"
21736,"1970-01-02 00:35:00.000","swiss"
178,"1970-01-02 00:35:00.000","ter"
8148,"1970-01-02 00:35:00.000","uk"
73,"1970-01-02 00:35:00.000","tgv"
414,"1970-01-02 00:35:00.000","sncb"
66,"1970-01-02 00:40:00.000","tgv"
22707,"1970-01-02 00:40:00.000","swiss"
166,"1970-01-02 00:40:00.000","ter"
8201,"1970-01-02 00:40:00.000","uk"
394,"1970-01-02 00:40:00.000","sncb"
241,"1970-01-02 00:40:00.000","intercites"
60,"1970-01-02 00:45:00.000","tgv"
22869,"1970-01-02 00:45:00.000","swiss"
8239,"1970-01-02 00:45:00.000","uk"
137,"1970-01-02 00:45:00.000","ter"
353,"1970-01-02 00:45:00.000","sncb"
241,"1970-01-02 00:45:00.000","intercites"
321,"1970-01-02 00:50:00.000","sncb"
241,"1970-01-02 00:50:00.000","intercites"
23665,"1970-01-02 00:50:00.000","swiss"
126,"1970-01-02 00:50:00.000","ter"
8320,"1970-01-02 00:50:00.000","uk"
24,"1970-01-02 00:50:00.000","tgv"
23494,"1970-01-02 00:55:00.000","swiss"
8225,"1970-01-02 00:55:00.000","uk"
115,"1970-01-02 00:55:00.000","ter"
18,"1970-01-02 00:55:00.000","tgv"
267,"1970-01-02 00:55:00.000","sncb"
241,"1970-01-02 00:55:00.000","intercites"
94,"1970-01-02 01:00:00.000","ter"
7449,"1970-01-02 01:00:00.000","uk"
